資料名,編著者,標記年/刊行年,作成機関/出版者,大きさ,備考,五十年史番号,目録番号,区分1,区分2,画像注記,区分3,正副,内容注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:creator,dcterms:date,dcterms:publisher,dcterms:extent,archiveshub:note,fnenshi:fnenshiNumber,fnenshi:catalogNumber,fnenshi:categoy1,fnenshi:categoy2,fnenshi:imageNote,fnenshi:categoy3,fnenshi:duplicate,fnenshi:contentNote,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,31437
含要類纂  巻之三十  本省往復  職務ノ部  明治四年,,明治4年8月~明治4年12月 (1871~1871),大学南校,268×190,重要文化財,87-1,31,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/940dbb6d-463e-0873-465a-4c2cb0260113.json,940dbb6d-463e-0873-465a-4c2cb0260113,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/940dbb6d-463e-0873-465a-4c2cb0260113,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3f89853fbc1a329b7be78f3357aeb3770faa6b1d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482073,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,157,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/940dbb6d-463e-0873-465a-4c2cb0260113/manifest,,,,,92
含要類纂  巻之三十一  教師之部  明治四年従正月至十二月,,明治4年正月~明治4年12月 (1871~1871),南校,250×173,重要文化財,87-2,32,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bf645467-96f3-62b2-6389-67b7be7a2ea2.json,bf645467-96f3-62b2-6389-67b7be7a2ea2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/bf645467-96f3-62b2-6389-67b7be7a2ea2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8f19c0ea4d42d40e1a5bb898ee60323755d300a4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482074,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,158,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bf645467-96f3-62b2-6389-67b7be7a2ea2/manifest,,,,,131
含要類纂  巻之三十二  諸向往復  明治四年,,明治4年8月~明治4年12月 (1871~1871),大学南校,268×190,重要文化財,87-3,33,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b4ca050d-2f51-79cb-1ec2-d0b8f61610c9.json,b4ca050d-2f51-79cb-1ec2-d0b8f61610c9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/b4ca050d-2f51-79cb-1ec2-d0b8f61610c9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9b0139a90233f4d226c0ba9d771b62fae3387277.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482075,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,159,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b4ca050d-2f51-79cb-1ec2-d0b8f61610c9/manifest,,,,,239
含要類纂  巻之三十四  本省往復  職務之部  明治五年従正月到十一月,,明治5年正月~明治5年11月 (1872~1872),第一番中学,254×175,重要文化財,88-2,40,I史料,1.東京大学関係,画像なし,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f6f558a6-a215-1725-00d0-a1df10095a52.json,f6f558a6-a215-1725-00d0-a1df10095a52,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/f6f558a6-a215-1725-00d0-a1df10095a52,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482076,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,161,,,,,,,0
含要類纂  巻之三十六  経伺之部  明治五年正月ヨリ同六年四月マテ,,明治5年正月~明治6年4月 (1872~1873),開成学校,254×177,重要文化財,89-1,37,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5a58ea1e-53c0-a7c1-9a28-f1b1bc085ebf.json,5a58ea1e-53c0-a7c1-9a28-f1b1bc085ebf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/5a58ea1e-53c0-a7c1-9a28-f1b1bc085ebf,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/66ad1c1a54dea2a3a222827cc803559c53a07820.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482077,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,163,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5a58ea1e-53c0-a7c1-9a28-f1b1bc085ebf/manifest,,,,,181
含要類纂  巻之三十七  布告之部  従明治六年三月到十二月,,明治6年3月~明治6年12月 (1873~1873),開成学校,257×183,重要文化財,89-2,46,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/51f4cf6f-9216-1536-69c7-032548520143.json,51f4cf6f-9216-1536-69c7-032548520143,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/51f4cf6f-9216-1536-69c7-032548520143,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4dd4d3f651441554107e1680b292c545d1610b97.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482078,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,164,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/51f4cf6f-9216-1536-69c7-032548520143/manifest,,,,,96
含要類纂  巻之三十八  布告之部  起明治五年従十一月卒六年四月,,明治5年11月~明治6年4月 (1872~1873),開成学校,257×182,重要文化財,89-3,38,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/be4f0092-5d2f-1f34-285f-ccbbc9e54fd5.json,be4f0092-5d2f-1f34-285f-ccbbc9e54fd5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/be4f0092-5d2f-1f34-285f-ccbbc9e54fd5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0bbb44d32a29203c3a5bf38e62225475de86f249.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482079,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,165,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be4f0092-5d2f-1f34-285f-ccbbc9e54fd5/manifest,,,,,169
工学博士 高松豊吉伝,,明治7年3月16日 (1874),化学工業時報社,209×146,,14,458,II刊本,4.その他,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/76260436-177b-a3e2-3db0-8a712db15362.json,76260436-177b-a3e2-3db0-8a712db15362,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/76260436-177b-a3e2-3db0-8a712db15362,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482029,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,17,,,,,,,0
含要類纂  巻之四拾五  職務之部  明治六年自二月至十一月,,明治6年2月~明治6年11月 (1873~1873),開成学校,257×184,重要文化財,91-1,53,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/34d2a960-6fa6-581d-97c2-60f2aff35cd3.json,34d2a960-6fa6-581d-97c2-60f2aff35cd3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/34d2a960-6fa6-581d-97c2-60f2aff35cd3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d4efe8285c42ade2f85218e1e06e59c741883418.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482080,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,172,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/34d2a960-6fa6-581d-97c2-60f2aff35cd3/manifest,,,,,23
含要類纂  巻之四拾六  教師ノ部  本省往復  起明治六年一月至同年七月,,明治6年1月~明治6年7月 (1873~1873),開成学校,256×181,重要文化財,91-2,54,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1e73fb0b-3368-800a-918b-7b2a7a5a7039.json,1e73fb0b-3368-800a-918b-7b2a7a5a7039,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/1e73fb0b-3368-800a-918b-7b2a7a5a7039,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6462df361a63001c1865b2b837672c9582c05039.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482081,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,173,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1e73fb0b-3368-800a-918b-7b2a7a5a7039/manifest,,,,,267
含要類纂  巻之四十八  明治六年本省往復  営繕之部,,明治6年2月~明治6年5月 (1873~1873),開成学校,258×188,重要文化財,91-3,55,I史料,1.東京大学関係,,1-1 東京大学前史,副本,理学部・文学部,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/45781029-18ea-5c18-53b1-e96df1376578.json,45781029-18ea-5c18-53b1-e96df1376578,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/45781029-18ea-5c18-53b1-e96df1376578,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1440a97bad997545c82b54ba24d646d7fbce9ce5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482082,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,174,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/45781029-18ea-5c18-53b1-e96df1376578/manifest,,,,,23
含要類纂  巻之四十九  明治六年本省往復  職務之部,,明治6年1月~明治6年12月 (1873~1873),開成学校,258×188,重要文化財,91-4,56,I史料,1.東京大学関係,,1-1 東京大学前史,副本,理学部・文学部,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/227df368-624d-35a5-0b6e-c66eddcc10de.json,227df368-624d-35a5-0b6e-c66eddcc10de,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/227df368-624d-35a5-0b6e-c66eddcc10de,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a709920ffdb546eaeb2b7a39fe8fad832cd92d0f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482083,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,175,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/227df368-624d-35a5-0b6e-c66eddcc10de/manifest,,,,,122
含要類纂  巻之五拾六  営繕之部  経伺  明治六年従四月到十二月,,明治6年4月~明治6年12月 (1873~1873),開成学校,257×183,重要文化財,93-1,63,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/39ce021b-9cfb-3c3a-35ca-9bfd8fbd5e15.json,39ce021b-9cfb-3c3a-35ca-9bfd8fbd5e15,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/39ce021b-9cfb-3c3a-35ca-9bfd8fbd5e15,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/83bcb719f742e084c1382d301f8d548f30e71eba.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482084,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,182,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/39ce021b-9cfb-3c3a-35ca-9bfd8fbd5e15/manifest,,,,,32
含要類纂  巻之五拾七  新校従経始到落成  諸伺書之部  明治六年従二月至九月,,明治6年2月~明治6年9月 (1873~1873),開成学校,257×183,重要文化財,93-2,64,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d3ad1296-a2d6-34dd-5953-b426b0127510.json,d3ad1296-a2d6-34dd-5953-b426b0127510,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/d3ad1296-a2d6-34dd-5953-b426b0127510,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7e05860ad38addc924cd8f7d0106a498ab57ebdc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482085,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,183,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d3ad1296-a2d6-34dd-5953-b426b0127510/manifest,,,,,78
含要類纂  巻五拾八  諸向往復之部  明治六年起一月終十二月,,明治6年1月~明治6年12月 (1873~1873),開成学校,257×183,重要文化財,93-3,65,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7bbc9980-7ca4-0187-6023-964d7e9a7489.json,7bbc9980-7ca4-0187-6023-964d7e9a7489,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/7bbc9980-7ca4-0187-6023-964d7e9a7489,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0522d624f9818121f3df638a838caaf79c560151.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482086,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,184,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7bbc9980-7ca4-0187-6023-964d7e9a7489/manifest,,,,,210
含要類纂  巻之六拾  当新校開業式書類  明治六年八月ヨリ十月ニ至ル,,明治6年8月~明治6年10月 (1873~1873),開成学校,250×174,重要文化財,93-4,66,I史料,1.東京大学関係,,1-1 東京大学前史,正本,20丁目に稟議の決裁印あり。正本をそ のまま編纂資料としたものか。,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4326b23b-0502-4a52-8bf6-072fb4e36dca.json,4326b23b-0502-4a52-8bf6-072fb4e36dca,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/4326b23b-0502-4a52-8bf6-072fb4e36dca,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b9af61aa694fd5cd053d949fc612b580b19f06ea.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482087,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,185,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4326b23b-0502-4a52-8bf6-072fb4e36dca/manifest,,,,,117
含要類纂  巻之六拾一  本省開申之部  明治七年従一月到十二月,,明治7年1月~明治7年12月 (1874~1874),東京開成学校,253×186,重要文化財,94,68,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8500d64d-61f2-706b-5980-f57ad8c765b7.json,8500d64d-61f2-706b-5980-f57ad8c765b7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/8500d64d-61f2-706b-5980-f57ad8c765b7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/29ce34a01ef51d5fc6639638ea022bcd226ec8d3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482088,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,186,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8500d64d-61f2-706b-5980-f57ad8c765b7/manifest,,,,,537
含要類纂  巻之六拾二  本省来書之部  明治七年従一月至十二月,,明治7年1月~明治7年12月 (1874~1874),東京開成学校,269×190,重要文化財,95,69,I史料,1.東京大学関係,画像なし,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8aa6e6e0-799b-a1b6-16df-fb57bcee0f92.json,8aa6e6e0-799b-a1b6-16df-fb57bcee0f92,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/8aa6e6e0-799b-a1b6-16df-fb57bcee0f92,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482089,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,187,,,,,,,0
含要類纂  巻之六拾三  教授係  本省往復之部  明治七年従一月到十二月,,明治7年1月~明治7年12月 (1874~1874),東京開成学校,253×184,重要文化財,96-1,70,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/816a6384-5691-660d-75bb-8334aa9e1433.json,816a6384-5691-660d-75bb-8334aa9e1433,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/816a6384-5691-660d-75bb-8334aa9e1433,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6c003c486e3fc769416ccf2c2ea7bf0be88a6e4a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482090,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,188,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/816a6384-5691-660d-75bb-8334aa9e1433/manifest,,,,,477
含要類纂  巻之六拾四  経伺之部 明治七年一月ヨリ四月ニ至ル,,明治7年1月~明治7年4月 (1874~1874),開成学校,253×184,重要文化財,96-2,71,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/92a4fbd9-1aa3-72e1-8006-c34ec8d4a0b7.json,92a4fbd9-1aa3-72e1-8006-c34ec8d4a0b7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/92a4fbd9-1aa3-72e1-8006-c34ec8d4a0b7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e1ee72048bdf34b508ad44464ad56796fea0e0d9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482091,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,189,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/92a4fbd9-1aa3-72e1-8006-c34ec8d4a0b7/manifest,,,,,96
教育五十年史,国民教育奨励会,大正11年10月1日 (1922),民友社,222×148,,16,443,II刊本,4.その他,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6deea82d-7fb2-79ca-0f9f-d62d550a3a87.json,6deea82d-7fb2-79ca-0f9f-d62d550a3a87,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/6deea82d-7fb2-79ca-0f9f-d62d550a3a87,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482030,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,19,,,,,,,0
