タイトル／Title,タイトル／Title,巻号タイトル／Volume Title,作成者／Creator,公開者／Publisher,出版地・頒布地／Publication Place,出版年/Year,発行日／Issued Data,言語／Language,主題／Subject,所蔵先／Source,請求記号／Call Number,貢献者／Contributor,公開日／Date,概要,Material Type,付加的記載,装訂,請求記号,著作の構成,バージョンの成立時期,著作の時期,大きさ（縦×横）,バージョンの行字数,出所,数量,登録番号,印記,資料化の技法,バージョンの技法,データのタイトル,著作のタイトル,バージョンの成立年,著作の年,バージョンの大きさ（縦×横）,データの識別子,Series Title,状態,外題,バージョンの成立場所,参考文献,バージョンの責任,著作の責任,原簿番号,資料化の時期,資料化の年,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:alternative,dcndl:volumeTitle,dcterms:creator,dcterms:publisher,dcndl:publicationPlace,uterms:year,dcterms:issued,dcterms:language,dcterms:subject,dcterms:source,dcndl:callNumber,dcterms:contributor,dcterms:available,dcterms:description,dcndl:materialType,uparl:additionalDescription,uparl:bibliopegy,uparl:callNumber,uparl:constitutionOfTheWork,uparl:dateOfTheVersion,uparl:dateOfTheWork,uparl:dimensions,uparl:linageOfTheVersion,uparl:provenance,uparl:quantity,uparl:registrationNumber,uparl:seal,uparl:techniqueOfTheMaterialization,uparl:techniqueOfTheVersion,uparl:titleOfTheData,uparl:titleOfTheWork,uparl:yearOfTheVersion,uparl:yearOfTheWork,uparl:dimensionsOfTheVersion,uparl:identifierOfTheData,dcndl:seriesTitle,uparl:condition,uparl:externalTitle,uparl:placeOfTheVersion,uparl:reference,uparl:responsibilityOfTheVersion,uparl:responsibilityOfTheWork,uparl:ledgerNumber,uparl:dateOfTheMaterialization,uparl:yearOfTheMaterialization,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,20214
八旗氏族通譜 首 [G30495-01],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/af497748-7d77-412c-afe3-cd2a12aa6ece.json,af497748-7d77-412c-afe3-cd2a12aa6ece,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/af497748-7d77-412c-afe3-cd2a12aa6ece,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/55b9463a40b29a4583fc9d1798e34d70e09fd090.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186443,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-01,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186443/manifest,,,,,66
八旗氏族通譜 一 [G30495-02],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/35f86a28-6c28-434b-a9fb-9182b8dbf0fa.json,35f86a28-6c28-434b-a9fb-9182b8dbf0fa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/35f86a28-6c28-434b-a9fb-9182b8dbf0fa,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/84f732f8ba35ab30103a0fb8e6b900b2439b1cb5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186444,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-02,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186444/manifest,,,,,68
八旗氏族通譜 二 三 [G30495-03],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d2e81cef-30c9-4a34-9e07-50627c53a289.json,d2e81cef-30c9-4a34-9e07-50627c53a289,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/d2e81cef-30c9-4a34-9e07-50627c53a289,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0b00f5de7a6cd29d18a44daeb76d64bec879d0f7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186445,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-03,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186445/manifest,,,,,91
八旗氏族通譜 四 五 [G30495-04],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0fcbef38-b68f-4d9f-8425-bbe45fb03bcc.json,0fcbef38-b68f-4d9f-8425-bbe45fb03bcc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/0fcbef38-b68f-4d9f-8425-bbe45fb03bcc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a2ee70e75168fd60abaf0ee04c391eee915c363f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186446,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-04,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186446/manifest,,,,,85
八旗氏族通譜 六 七 [G30495-05],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/23251e4b-ec8c-4df3-ab50-955312c53648.json,23251e4b-ec8c-4df3-ab50-955312c53648,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/23251e4b-ec8c-4df3-ab50-955312c53648,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6cf7eca21d609bce481834febb952f4bee2b3c3b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186447,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-05,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186447/manifest,,,,,74
八旗氏族通譜 八至十 [G30495-06],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/22d560f8-9d98-49e2-9596-43491b28623e.json,22d560f8-9d98-49e2-9596-43491b28623e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/22d560f8-9d98-49e2-9596-43491b28623e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1159936023afd1d8f336d3dcaae5e9dd9746c7d5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186448,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-06,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186448/manifest,,,,,80
八旗氏族通譜 十一 十二 [G30495-07],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2e790fa3-5f4b-4eec-a4be-cb6b5b49f7d5.json,2e790fa3-5f4b-4eec-a4be-cb6b5b49f7d5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/2e790fa3-5f4b-4eec-a4be-cb6b5b49f7d5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1e629d7048bfb68a26b0fd14fef64d125de3c1ec.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186449,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-07,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186449/manifest,,,,,73
八旗氏族通譜 十三至十五 [G30495-08],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/360dc78a-b5ac-43c6-9956-2c89287a83dc.json,360dc78a-b5ac-43c6-9956-2c89287a83dc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/360dc78a-b5ac-43c6-9956-2c89287a83dc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/338387cadb7beb67e456b2e00207b1cec7ef7ddc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186450,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-08,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186450/manifest,,,,,92
八旗氏族通譜 十六至十八 [G30495-09],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/956f3778-1392-4180-9ea0-f27f92b6a643.json,956f3778-1392-4180-9ea0-f27f92b6a643,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/956f3778-1392-4180-9ea0-f27f92b6a643,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bf4a589c03a9eb810bd847a4fcc2dbe34e28fceb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186451,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-09,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186451/manifest,,,,,69
八旗氏族通譜 十九 二十 [G30495-10],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/324cd287-ee08-46cb-925c-1802c1fa9344.json,324cd287-ee08-46cb-925c-1802c1fa9344,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/324cd287-ee08-46cb-925c-1802c1fa9344,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0e211bfa71fed34e622ee9a7a5fa87e0a32e3e9d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186452,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-10,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186452/manifest,,,,,74
八旗氏族通譜 二十一 二十二 [G30495-11],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f3d27fcb-92ef-4076-9542-772fa9d714a0.json,f3d27fcb-92ef-4076-9542-772fa9d714a0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/f3d27fcb-92ef-4076-9542-772fa9d714a0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2c0659b62896c27a9bff72905666cc9b1a3b675d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186453,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-11,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186453/manifest,,,,,71
八旗氏族通譜 二十三 二十四 [G30495-12],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/face5d60-18c8-4d2e-bec8-35e18fab2407.json,face5d60-18c8-4d2e-bec8-35e18fab2407,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/face5d60-18c8-4d2e-bec8-35e18fab2407,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d81eb1e9dbabfe19f73e48c36745c1d552a81d67.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186454,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-12,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186454/manifest,,,,,92
八旗氏族通譜 二十五 二十六 [G30495-13],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56c5a740-afcd-4e01-a5e0-e4a05f477257.json,56c5a740-afcd-4e01-a5e0-e4a05f477257,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/56c5a740-afcd-4e01-a5e0-e4a05f477257,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d381ad12ff703dac51ab811feb6935cddf109d6c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186455,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-13,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186455/manifest,,,,,83
八旗氏族通譜 二十七至二十九 [G30495-14],,,,,,,,,,,,,,中国清時代に刊行された満文書籍。,,,"線装, 四針眼釘法",G30-495,"首巻, 80巻",,(清)乾隆9年12月3日,27.2×17.2cm,10行,東京大学総合図書館所蔵,32冊,,東京帝国大学図書印,印本,木版,八旗氏族通譜八十巻首一巻 Baqi Shizu Tongpu 80 juan shou 1 juan Jakūn Gūsai Manjusai Mukūn Hala Be Uheri Ejehe Bithe 八旗氏族通谱八十卷首一卷 八旗氏族通譜八十卷首一卷,(巻首題)jakūn gūsai manjusai mukūn hala be uheri ejehe bithe,,1745年,(内框)19.3×13.1cm,G30495,,,八旗氏族通譜,,"多賀秋五郎『中国宗譜の研究』上巻, 東京, 日本学術振興会, 1981, pp.472-473",,(清)弘昼奉勅撰,B33491,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9e089630-6632-4431-949e-82f6531d29e1.json,9e089630-6632-4431-949e-82f6531d29e1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/uparl/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/9e089630-6632-4431-949e-82f6531d29e1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9e0db2eec17157bc737106da27bc8efbaa27023c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/186456,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,U-PARLセレクション,G30495-14,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/186456/manifest,,,,,90
