タイトル	タイトル	タイトルよみ	請求番号	和暦	地域	題種・題名	題種・題名よみ	作者名	作者名よみ	書誌備考	刊写	体裁	親書誌	大分類	中分類	小分類	月	日	西暦	月日	刊記	板元	元号	劇場	内題下	演奏者	統一劇場	刊年	興行人	内題下よみ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
-恋塚物語 勧進帳		こいづかものがたりかんじんちょう	黒4133-0020-05								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9d22d0d0-e467-4b1b-b6c5-7117cb5662b8.json	9d22d0d0-e467-4b1b-b6c5-7117cb5662b8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/9d22d0d0-e467-4b1b-b6c5-7117cb5662b8	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/66d182df2226e453449ddcb20b08b96240b95165.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277469	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0017	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9d22d0d0-e467-4b1b-b6c5-7117cb5662b8/manifest					1
-真野長者 朧夜道行		まののちょうじゃおぼろよみちゆき	黒4133-0020-06								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/679f0c23-34b2-4435-a168-5b615b07d0c1.json	679f0c23-34b2-4435-a168-5b615b07d0c1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/679f0c23-34b2-4435-a168-5b615b07d0c1	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ff68ffade391e7e2c75d9d565fc7b5397453d099.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277470	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0018	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/679f0c23-34b2-4435-a168-5b615b07d0c1/manifest					2
-同巻(真野長者) 干珠満珠姫道行		まののちょうじゃかんじゅまんじゅひめみちゆき	黒4133-0020-07								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/33a87921-9998-4cd5-9e4a-89543730cf08.json	33a87921-9998-4cd5-9e4a-89543730cf08	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/33a87921-9998-4cd5-9e4a-89543730cf08	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6183ed702897b3766c1f2c59c025ead5d346e843.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277471	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0019	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/33a87921-9998-4cd5-9e4a-89543730cf08/manifest					4
-他力本願記 玉夜姫道行 (目録題)		たりきほんがんきたまよひめみちゆき	黒4133-0020-08								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5c82f832-73be-4d27-90bf-067881330a0d.json	5c82f832-73be-4d27-90bf-067881330a0d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/5c82f832-73be-4d27-90bf-067881330a0d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/efee8045004b01cab3fdf33d22065e0f34437f52.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277472	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0020	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5c82f832-73be-4d27-90bf-067881330a0d/manifest					4
-牛若千人切 都めくり		うしわかせんにんぎりみやこめぐり	黒4133-0020-09								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ff30cb80-2166-45c0-997d-8e10fc03e1da.json	ff30cb80-2166-45c0-997d-8e10fc03e1da	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/ff30cb80-2166-45c0-997d-8e10fc03e1da	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0d4edc4cf10b8cc9d0fef17727131fd31119846d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277473	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0021	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ff30cb80-2166-45c0-997d-8e10fc03e1da/manifest					3
-栗島御縁起 御田植 (目録題)		あわしまごえんぎおんたうえ	黒4133-0020-10								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/702068d1-0a81-4133-a40d-d7ead896f2ff.json	702068d1-0a81-4133-a40d-d7ead896f2ff	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/702068d1-0a81-4133-a40d-d7ead896f2ff	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5947b718884c9a90f9937b8c00918b687dcdae03.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277474	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0022	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/702068d1-0a81-4133-a40d-d7ead896f2ff/manifest					2
-栗島御縁起 姫松丸道行 (目録題)		どうひめまつまるみちゆき	黒4133-0020-11								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c62efbb0-b65d-4b50-b4b3-3a3e9d975a64.json	c62efbb0-b65d-4b50-b4b3-3a3e9d975a64	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/c62efbb0-b65d-4b50-b4b3-3a3e9d975a64	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/088aedee54a062069ba20c1f28ebe53de1f8ad65.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277475	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0023	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c62efbb0-b65d-4b50-b4b3-3a3e9d975a64/manifest					3
-那須与市船遺恨 島廻り		なすのよいちふねのいこんしまめぐり	黒4133-0020-12								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/db3d9f3f-3522-4d41-adc6-ca441af871d0.json	db3d9f3f-3522-4d41-adc6-ca441af871d0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/db3d9f3f-3522-4d41-adc6-ca441af871d0	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2d95698cce6f4b4562e4386b9d11fcc73b1999d5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277476	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0024	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/db3d9f3f-3522-4d41-adc6-ca441af871d0/manifest					2
-同(那須与市船遺恨) 当摩上道行		どうなすのよいちふねのいこんたいまのうえみちゆき	黒4133-0020-13								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6ca28f94-8016-4180-88a2-b8c73073cb6b.json	6ca28f94-8016-4180-88a2-b8c73073cb6b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/6ca28f94-8016-4180-88a2-b8c73073cb6b	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6cc9ccab19bfabd2ebebcdb3e37f99fc3da3de03.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277477	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0025	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6ca28f94-8016-4180-88a2-b8c73073cb6b/manifest					3
-惟高惟仁位諍 親王道行		これたかこれひとくらいあらそいしんのうみちゆき	黒4133-0020-14								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3c96b262-7b57-4234-a243-a8956e111977.json	3c96b262-7b57-4234-a243-a8956e111977	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/3c96b262-7b57-4234-a243-a8956e111977	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/80406f803cfca3bbc334c8631b084f00809e22ac.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277478	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0026	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3c96b262-7b57-4234-a243-a8956e111977/manifest					3
-同巻(惟高惟仁位諍) 弓八幡		どうまきこれたかこれひとくらいあらそいゆみはちまん	黒4133-0020-15								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f4a02499-284f-413d-9049-e1458cd1273e.json	f4a02499-284f-413d-9049-e1458cd1273e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/f4a02499-284f-413d-9049-e1458cd1273e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/050b880b783c3b9f6548a97cb2f9c244af2d20c1.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277479	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0027	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f4a02499-284f-413d-9049-e1458cd1273e/manifest					3
-栄花物語 小蝶舞		えいがものがたりこちょうのまい	黒4133-0020-16								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/431757cd-7814-4a9a-8808-ac0608bf1280.json	431757cd-7814-4a9a-8808-ac0608bf1280	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/431757cd-7814-4a9a-8808-ac0608bf1280	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4696d381b10c0b3be650e45d827cc0b719a3ff8e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277480	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0028	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/431757cd-7814-4a9a-8808-ac0608bf1280/manifest					2
-同巻(栄花物語) 赤染道行		どうまきえいがものがたりあかぞめみちゆき	黒4133-0020-17								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f5f8345c-951c-43b1-ba75-c8ce9ff4107e.json	f5f8345c-951c-43b1-ba75-c8ce9ff4107e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/f5f8345c-951c-43b1-ba75-c8ce9ff4107e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2440aa63b0bc006698e978fec3a0eb006ee4f8c0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277481	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0029	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f5f8345c-951c-43b1-ba75-c8ce9ff4107e/manifest					3
-五百羅漢 空也上人道行		ごひゃくらかんくうやしょうにんみちゆき	黒4133-0020-18								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6562c459-865f-4c0d-8f1b-4edc8038313c.json	6562c459-865f-4c0d-8f1b-4edc8038313c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/6562c459-865f-4c0d-8f1b-4edc8038313c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3c695fb6874d1779279e5f8724d75864d583c886.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277482	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0030	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6562c459-865f-4c0d-8f1b-4edc8038313c/manifest					4
-十六夜物語 同(十六夜)姫道行		いざよいものがたりどういざよいひめみちゆき	黒4133-0020-19								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c1ac1fc7-a25a-45ff-b04b-982bdd9f9312.json	c1ac1fc7-a25a-45ff-b04b-982bdd9f9312	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/c1ac1fc7-a25a-45ff-b04b-982bdd9f9312	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fdc515b7ed9a5e545f17c37c7aaa8f53b4de13da.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277483	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0031	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ac1fc7-a25a-45ff-b04b-982bdd9f9312/manifest					3
-同巻(十六夜物語) 賢女尽		どうまきいざよいものがたりけんじょづくし	黒4133-0020-20								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d8537888-7309-4d9b-84aa-e98c0ec66fb6.json	d8537888-7309-4d9b-84aa-e98c0ec66fb6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/d8537888-7309-4d9b-84aa-e98c0ec66fb6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1ab8695beabb81b91e021e8267452ac1c62b1cc9.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277484	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0032	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d8537888-7309-4d9b-84aa-e98c0ec66fb6/manifest					5
-熊野権現 平太郎道行		くまのごんげんへいたろうみちゆき	黒4133-0020-21								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/88629262-810f-4e43-960a-c7be6d31787e.json	88629262-810f-4e43-960a-c7be6d31787e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/88629262-810f-4e43-960a-c7be6d31787e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/33d555d1fb3fa554fe3c0e1be3a71fb2b33d8e60.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277485	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0033	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/88629262-810f-4e43-960a-c7be6d31787e/manifest					3
-平安城都遷 みさほ前道行		へいあんじょうみやこうつしみさほのまえみちゆき	黒4133-0020-22								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1df3bae9-2ffc-41ca-96e7-01a326fed583.json	1df3bae9-2ffc-41ca-96e7-01a326fed583	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/1df3bae9-2ffc-41ca-96e7-01a326fed583	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/78f9c2f6c7f78fdb306cb7378d65b0e29b39963a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277486	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0034	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1df3bae9-2ffc-41ca-96e7-01a326fed583/manifest					3
-同(平安城都遷) 王城地祭		どうへいあんじょうみやこうつしおうじょうじまつり	黒4133-0020-23								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e52ac104-0d07-46c2-8b23-83f50f3e706f.json	e52ac104-0d07-46c2-8b23-83f50f3e706f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/e52ac104-0d07-46c2-8b23-83f50f3e706f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b81a73d7284794cf535b703db8dc589bb4307080.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277487	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0035	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e52ac104-0d07-46c2-8b23-83f50f3e706f/manifest					4
-東山殿子日遊 八雲前道行		ひがしやまどのねのひのあそびやくものまえみちゆき	黒4133-0020-24								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1d7d3aba-e1c8-4664-b717-0c0f4738f81c.json	1d7d3aba-e1c8-4664-b717-0c0f4738f81c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/1d7d3aba-e1c8-4664-b717-0c0f4738f81c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6993be00fef154b5ddb7ace43031c990b877abc8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277488	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0036	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1d7d3aba-e1c8-4664-b717-0c0f4738f81c/manifest					3
-同(東山殿子日遊)銀閣寺 風流花見		どうひがしやまどのねのひのあそびぎんかくじさくらづくし	黒4133-0020-25							目録題「東山殿子日遊 桜つくし」	写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c989fa12-df23-4c5f-9797-230662f8530a.json	c989fa12-df23-4c5f-9797-230662f8530a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/c989fa12-df23-4c5f-9797-230662f8530a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3bc37125d6eab4f72243ba985c4da9c91ffb9cdf.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277489	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0037	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c989fa12-df23-4c5f-9797-230662f8530a/manifest					3
-七人比丘尼 白菊道行		しちにんびくにしらぎくみちゆき	黒4133-0020-26								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d06cfc04-83f7-4b51-92d8-a28b5314c451.json	d06cfc04-83f7-4b51-92d8-a28b5314c451	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/d06cfc04-83f7-4b51-92d8-a28b5314c451	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/415b717bd560778e7da2d8a45ade5927f0c8445d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277490	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0038	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d06cfc04-83f7-4b51-92d8-a28b5314c451/manifest					3
