タイトル	資料の解説	項目	年月日	分類	出版事項等	状態	縦×横（cm）	備考	冊数	サブコレクション	年	アイテムURL	viewingDirection	ID	ソート用項目	機械可読ドキュメント	ウェブサイトURL	IIIFマニフェストURI	帰属	コレクション	サムネイル	利用条件
大地震退治ノ図		災害	嘉永7年6月14日	摺物		墨一色			01_029	石本コレクションII	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/da9e9542-ea98-4a28-989b-03cd932eee97	http://iiif.io/api/presentation/2#rightToLeftDirection	da9e9542-ea98-4a28-989b-03cd932eee97	1029	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56043	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56043/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56177/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
地震太平記		災害	安政2年10月2日	鯰絵		多色			01_030	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/ec32b18f-6409-4263-bc9c-aa3f08288914	http://iiif.io/api/presentation/2#rightToLeftDirection	ec32b18f-6409-4263-bc9c-aa3f08288914	1030	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56044	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56044/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56179/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
関東類焼大地震		災害	安政2年10月2日	摺物		多色		*I-01-031,I-04-004	01_031	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/ad781002-f061-4fd7-a82b-46134a8e5199	http://iiif.io/api/presentation/2#rightToLeftDirection	ad781002-f061-4fd7-a82b-46134a8e5199	1031	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56045	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56045/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56181/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
摂州大洪水記聞極本しらべ		災害	明治18年6月	絵図		墨一色			01_032	石本コレクションII	1885	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/e2893a4e-19f3-42f7-887f-de8d5b16cfcb	http://iiif.io/api/presentation/2#rightToLeftDirection	e2893a4e-19f3-42f7-887f-de8d5b16cfcb	1032	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56046	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56046/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56183/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
呉服橋外桶町河岸飆之図		災害	安政5年11月5日	摺物		多色			01_033	石本コレクションII	1858	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/178b7733-3530-4307-93fc-57118c73f139	http://iiif.io/api/presentation/2#rightToLeftDirection	178b7733-3530-4307-93fc-57118c73f139	1033	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56047	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56047/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56185/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
野保台詩(「仮宅盛・・・」)		災害	安政2年10月2日	摺物		墨一色			01_034	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/95ece5a6-ede9-4cb6-8520-446eef821358	http://iiif.io/api/presentation/2#rightToLeftDirection	95ece5a6-ede9-4cb6-8520-446eef821358	1034	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56048	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56048/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56187/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
地震のすちやらか		災害	安政2年10月2日	鯰絵		墨一色		*I-02-117,I-04-012	01_035	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/40f2f61b-c54f-4e5f-8e04-e812c0528f79	http://iiif.io/api/presentation/2#rightToLeftDirection	40f2f61b-c54f-4e5f-8e04-e812c0528f79	1035	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56049	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56049/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56189/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
明治廿四年十月廿八日大地震後図		災害	明治24年10月28日	錦絵		多色		3枚続(裏は3枚続役者絵)	01_036	石本コレクションII	1891	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/69001f19-436c-46e0-8c7f-679d3e7a903e	http://iiif.io/api/presentation/2#rightToLeftDirection	69001f19-436c-46e0-8c7f-679d3e7a903e	1036	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56050	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56050/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56191/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
鹿嶋神託所より鯰共一統江申渡しの事		災害	安政2年10月2日	鯰絵		墨一色		2-01~2-03は3枚続 *I-05-061	02_001	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/7fc2992f-a8c4-4fd7-b1b4-269ea3c6d1ad	http://iiif.io/api/presentation/2#rightToLeftDirection	7fc2992f-a8c4-4fd7-b1b4-269ea3c6d1ad	1037	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56051	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56051/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56193/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
左官無二如来家根之瓦土蔵菩薩開帳由来記		災害	安政2年10月2日	摺物		墨一色		2-01~2-03は3枚続	02_002	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f82074bf-926f-4a33-92bb-9f4c75d81d75	http://iiif.io/api/presentation/2#rightToLeftDirection	f82074bf-926f-4a33-92bb-9f4c75d81d75	1038	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56052	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56052/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56195/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
おそれなからなまづども一とうよりぬらつきをもつて御こたへ申上たてまつり候		災害	安政2年10月2日	鯰絵		墨一色		2-01~2-03は3枚続	02_003	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/bee38f0e-d6fc-444d-9140-8d70cebce110	http://iiif.io/api/presentation/2#rightToLeftDirection	bee38f0e-d6fc-444d-9140-8d70cebce110	1039	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56053	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56053/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56197/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
生捕ました三度の大地震		災害	安政2年10月2日	鯰絵		多色		*I-02-023	02_004	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/2fe5f21a-fa37-4dc6-9753-755df1ef3faa	http://iiif.io/api/presentation/2#rightToLeftDirection	2fe5f21a-fa37-4dc6-9753-755df1ef3faa	1040	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56054	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56054/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56199/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
百一年目の日蝕		日食	明治20年8月19日	摺物	朱清画	多色			02_005	石本コレクションII	1887	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/723553d0-4a10-43fa-991c-7e46c6b6b01d	http://iiif.io/api/presentation/2#rightToLeftDirection	723553d0-4a10-43fa-991c-7e46c6b6b01d	1041	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56055	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56055/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56201/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
明治二十歳八月十九日日食九分九厘余		日食	明治20年8月19日	摺物		多色		同タイトルのもの2枚あり	02_006	石本コレクションII	1887	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/5948d450-d1c5-4df9-b656-8984399747f7	http://iiif.io/api/presentation/2#rightToLeftDirection	5948d450-d1c5-4df9-b656-8984399747f7	1042	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56056	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56056/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56203/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
岐阜県愛知県大地震実況		災害	明治24年10月28日	摺物		多色		3枚続 *I-04-009	02_007	石本コレクションII	1891	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/20af3de7-0f0b-407b-ab8a-6c0ae4c72970	http://iiif.io/api/presentation/2#rightToLeftDirection	20af3de7-0f0b-407b-ab8a-6c0ae4c72970	1043	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56057	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56057/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56207/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
鯰之讎討		災害	安政2年10月2日	鯰絵		多色		*I-02-055	02_008	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f20d2fc7-27f8-4494-86c8-99a6cd1fbb7c	http://iiif.io/api/presentation/2#rightToLeftDirection	f20d2fc7-27f8-4494-86c8-99a6cd1fbb7c	1044	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56058	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56058/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56213/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
岐阜市街大地震之図		災害	明治24年10月28日	摺物		多色		3枚続 *I-03-001	02_009	石本コレクションII	1891	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/ea2b53ce-7d17-47dd-bbca-678be036cf22	http://iiif.io/api/presentation/2#rightToLeftDirection	ea2b53ce-7d17-47dd-bbca-678be036cf22	1045	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56059	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56059/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56215/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
大津ぶれぶし		災害	安政2年10月2日	鯰絵		多色		同タイトルのもの2枚あり *I-02-059	02_010	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/340f027a-f302-4db0-ba9e-e0a17ab0d5ff	http://iiif.io/api/presentation/2#rightToLeftDirection	340f027a-f302-4db0-ba9e-e0a17ab0d5ff	1046	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56060	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56060/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56221/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
(善光寺地震絵図)とてつるけんかへ歌		災害	弘化4年3月24日	鯰絵	国輝画	多色			02_011	石本コレクションII	1847	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/6efc7586-f05b-4a06-ab2e-03a9b26dad6f	http://iiif.io/api/presentation/2#rightToLeftDirection	6efc7586-f05b-4a06-ab2e-03a9b26dad6f	1047	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56061	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56061/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56225/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
大地震満水の図		災害	弘化4年3月24日	摺物		多色			02_012	石本コレクションII	1847	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9a0a8f47-f62c-475c-8827-625b5c10e89b	http://iiif.io/api/presentation/2#rightToLeftDirection	9a0a8f47-f62c-475c-8827-625b5c10e89b	1048	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56062	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56062/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56227/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
治る御代ひやかし鯰		災害	安政2年10月2日	鯰絵		多色		*I-02-084	02_013	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/a69ce079-a15b-477f-a48e-1668d8fad012	http://iiif.io/api/presentation/2#rightToLeftDirection	a69ce079-a15b-477f-a48e-1668d8fad012	1049	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56063	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56063/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56229/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
(是ハ万代の談柄)音聞浅間幻燈画		災害	明治21年7月15日	摺物	豊原国周画 明治21年9月10日印刷出版、日本橋吉川町2番地 松木平吉 ホリ銀	多色		3枚続	02_014	石本コレクションII	1888	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/dee975b1-cbc8-4d06-84ce-c15ba97f99f5	http://iiif.io/api/presentation/2#rightToLeftDirection	dee975b1-cbc8-4d06-84ce-c15ba97f99f5	1050	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56064	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56064/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56231/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
聞書東海道南海道国々大地震大つなみ		災害	嘉永7年11月	摺物		墨一色		*I-05-016	02_015	石本コレクションII	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/c5da21ff-b760-4082-9d86-be301fb3ed8f	http://iiif.io/api/presentation/2#rightToLeftDirection	c5da21ff-b760-4082-9d86-be301fb3ed8f	1051	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56065	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56065/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56233/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
聞書諸国并大阪大地震つなみ		災害	嘉永7年11月	摺物		墨一色			02_016	石本コレクションII	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/514e8d22-812d-44ff-80b2-c30382bba828	http://iiif.io/api/presentation/2#rightToLeftDirection	514e8d22-812d-44ff-80b2-c30382bba828	1052	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56066	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56066/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56234/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
大地震早引方角附		災害	嘉永7年11月	摺物		多色		(付紙 嘉永6寅月14日「大地震ニ付テ」)	02_017	石本コレクションII	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/444f11e8-2d84-416a-b44c-9fdc3e9872ff	http://iiif.io/api/presentation/2#rightToLeftDirection	444f11e8-2d84-416a-b44c-9fdc3e9872ff	1053	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56067	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56067/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56235/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸名所道戯尽両国の夕立		名所案内	安政6年	摺物	広景画 安政6年正月改	多色			02_018	石本コレクションII	1859	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f3b22d38-1a91-4e0f-97e8-7b94175212b2	http://iiif.io/api/presentation/2#rightToLeftDirection	f3b22d38-1a91-4e0f-97e8-7b94175212b2	1054	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56068	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56068/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56237/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
しばらくのそとね		災害	安政2年10月2日	鯰絵		多色		*I-02-001	02_019	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/6e463a51-b463-45c3-b28a-8fd90d61ad6b	http://iiif.io/api/presentation/2#rightToLeftDirection	6e463a51-b463-45c3-b28a-8fd90d61ad6b	1055	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56069	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56069/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56239/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
流行職人尽		災害	安政2年10月2日	鯰絵		多色		*I-05-019	02_020	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/ab997982-1291-473e-96e4-b6f2ba43f844	http://iiif.io/api/presentation/2#rightToLeftDirection	ab997982-1291-473e-96e4-b6f2ba43f844	1056	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56070	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56070/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56241/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
恵比寿天申訳之記		災害	安政2年10月2日	鯰絵		多色		*I-02-003	02_021	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9f40daaa-913c-4dd6-a6c6-80e9b2a11bcc	http://iiif.io/api/presentation/2#rightToLeftDirection	9f40daaa-913c-4dd6-a6c6-80e9b2a11bcc	1057	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56071	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56071/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56243/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
太平御代の御恵		災害	安政2年10月2日	鯰絵	安政2年10月25日改	墨一色		2-22~2-24は3枚続	02_022	石本コレクションII	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9c2a9bf3-e973-4ac9-a509-6bcd4ff4d3f1	http://iiif.io/api/presentation/2#rightToLeftDirection	9c2a9bf3-e973-4ac9-a509-6bcd4ff4d3f1	1058	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56072	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56072/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56245/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
諸国大地震		災害	嘉永7年11月	摺物		墨一色		2-22~2-24は3枚続	02_023	石本コレクションII	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/bf683b4c-4826-4a2e-b52c-fe639bad0740	http://iiif.io/api/presentation/2#rightToLeftDirection	bf683b4c-4826-4a2e-b52c-fe639bad0740	1059	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56073	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56073/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56246/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
象頭山参詣道紀州加田ヨリ讃岐廻并播磨名勝附		名所案内		絵図		多色		2-22~2-24は3枚続	02_024	石本コレクションII		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/67acc5ab-0d8c-4859-bd52-ff54ea7287ea	http://iiif.io/api/presentation/2#rightToLeftDirection	67acc5ab-0d8c-4859-bd52-ff54ea7287ea	1060	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56074	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56074/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56247/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
伊豆下田小田原箱根大地震之図		災害	嘉永7年11月4日	摺物		墨一色		*I-01-046	02_025	石本コレクションII	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/de178c2c-3d77-4db1-9475-cc354f52d949	http://iiif.io/api/presentation/2#rightToLeftDirection	de178c2c-3d77-4db1-9475-cc354f52d949	1061	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/56075	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56075/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/56248/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
