タイトル,請求記号,出版社,出版地,日付,記事タイトル1,記事タイトル1発信元,記事タイトル2,記事タイトル2発信元,記事タイトル3,記事タイトル3発信元,別タイトル,記名,面,備考,シリーズ名,言語,種別,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
米沢日報 明治44年5月24日 第1309号号外,06-55,米沢実業新報社,米沢,1911-05-24,山形市再度の大火,,,,,,山形市再度の大火,,1,,山形市大火,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c6173a9b-77e7-7240-8b06-a4301fd468f1.json,c6173a9b-77e7-7240-8b06-a4301fd468f1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/c6173a9b-77e7-7240-8b06-a4301fd468f1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/77cee9b5188d09b50bee86dc08c76577bfd67ff5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071045,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1955,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c6173a9b-77e7-7240-8b06-a4301fd468f1/manifest,,,,,1
読売新聞 明治10年3月18日 号外附録,06-56,日就社,東京,1877-03-18,,,,,,,,,1,,西南戦争 (最初の新聞號外),日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1a9e2032-37e9-12e6-99e2-5a4f14239dd0.json,1a9e2032-37e9-12e6-99e2-5a4f14239dd0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/1a9e2032-37e9-12e6-99e2-5a4f14239dd0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/91a3f9505cdf3604c60e57a0b481a92b218b72e1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071044,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1956,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1a9e2032-37e9-12e6-99e2-5a4f14239dd0/manifest,,,,,1
読売新聞 明治24年2月26日 号外,06-56,日就社,東京,1891-02-26,本日の衆議院,,政府の覆楪,,,,本日の衆議院|政府の覆楪,,1,,第一議会紛乱,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bec7bc92-11f2-4f2a-760a-047cf33c25a9.json,bec7bc92-11f2-4f2a-760a-047cf33c25a9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/bec7bc92-11f2-4f2a-760a-047cf33c25a9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/be86ac0638f73f6251303c617d85e05f37d72c3f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071043,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1957,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bec7bc92-11f2-4f2a-760a-047cf33c25a9/manifest,,,,,1
読売新聞 明治37年3月19日 号外,06-56,日就社,東京,1904-03-19,旅順の露艦隊出づ,,バルチック艦隊來らん,,露兵八百名溺死,,旅順の露艦隊出づ|バルチック艦隊来らん|露兵八百名溺死,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5ed7b942-4258-437f-83a3-d65f58c006e0.json,5ed7b942-4258-437f-83a3-d65f58c006e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/5ed7b942-4258-437f-83a3-d65f58c006e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7e2b7a8df4b0c7600e067ae543f35dd5141dc685.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071042,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1958,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5ed7b942-4258-437f-83a3-d65f58c006e0/manifest,,,,,1
読売新聞 明治37年3月30日 号外,06-56,日就社,東京,1904-03-30,陸戰後報,,露艦、日本船を捕ふ,,,,陸戦後報|露艦、日本船を捕ふ,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fc77279d-9684-5977-3545-47b18dfe4a3c.json,fc77279d-9684-5977-3545-47b18dfe4a3c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/fc77279d-9684-5977-3545-47b18dfe4a3c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0ba0ecfba936a2cbb5740d802b889ba249f26810.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071041,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1959,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fc77279d-9684-5977-3545-47b18dfe4a3c/manifest,,,,,1
読売新聞 明治37年4月15日 号外,06-56,日就社,東京,1904-04-15,十三日の海戰 露國側の詳報,,,,,,十三日の海戦 露国側の詳報,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3751300b-7ff1-2592-3246-21792cbf4f2f.json,3751300b-7ff1-2592-3246-21792cbf4f2f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/3751300b-7ff1-2592-3246-21792cbf4f2f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/01b0b3c40519358c942c8c0e29513c44ecdb0809.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071040,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1960,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3751300b-7ff1-2592-3246-21792cbf4f2f/manifest,,,,,1
読売新聞 明治37年5月1日 号外,06-56,日就社,東京,1904-05-01,陸戰の公報,,昨日の小戰,,,,陸戦の公報|昨日の小戦,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/76a8f489-6c53-6eb1-76e2-9327ad2d4c61.json,76a8f489-6c53-6eb1-76e2-9327ad2d4c61,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/76a8f489-6c53-6eb1-76e2-9327ad2d4c61,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f30115bc90f5827bfb687f3ba21599dc75943304.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071039,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1961,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/76a8f489-6c53-6eb1-76e2-9327ad2d4c61/manifest,,,,,1
読売新聞 明治37年5月2日 号外,06-56,日就社,東京,1904-05-02,九連城占領公報,,九連城占領別報,,我艦浦鹽に向ふ,,九連城占領公報|九連城占領別報|我艦浦鹽に向ふ,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/14554ba8-3e2e-5b15-3ec9-ac6144de8b93.json,14554ba8-3e2e-5b15-3ec9-ac6144de8b93,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/14554ba8-3e2e-5b15-3ec9-ac6144de8b93,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1cced3df1a1547207669dd6d144f30f5f88a0e9e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071038,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1962,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/14554ba8-3e2e-5b15-3ec9-ac6144de8b93/manifest,,,,,1
読売新聞 明治37年5月7日 号外,06-56,日就社,東京,1904-05-07,第三回旅順口閉塞の詳報,,,,,,第三回旅順口閉塞の詳報,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a76d24af-81b2-458b-49d0-7cf85ede1322.json,a76d24af-81b2-458b-49d0-7cf85ede1322,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/a76d24af-81b2-458b-49d0-7cf85ede1322,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/71c5eacd7a65a7e76b5f63378114621fe370c85e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071037,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1963,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a76d24af-81b2-458b-49d0-7cf85ede1322/manifest,,,,,1
読売新聞 明治37年5月21日 号外,06-56,日就社,東京,1904-05-21,露艦の破壊,,,,,,露艦の破壊,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dd7a31bc-6ebd-064f-5cb3-9e7f2fa77b7d.json,dd7a31bc-6ebd-064f-5cb3-9e7f2fa77b7d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/dd7a31bc-6ebd-064f-5cb3-9e7f2fa77b7d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b71cd975cd6412addf7d58c3570a83d0cac39b49.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071036,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1964,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd7a31bc-6ebd-064f-5cb3-9e7f2fa77b7d/manifest,,,,,1
読売新聞 明治37年5月29日 号外,06-56,日就社,東京,1904-05-29,金城戰爭の詳報,,,,,,金城戦争の詳報,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2a3cf87d-23e2-8314-12bc-cb9bf9b221d6.json,2a3cf87d-23e2-8314-12bc-cb9bf9b221d6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/2a3cf87d-23e2-8314-12bc-cb9bf9b221d6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/80b21c62476e978be202909a0e607a474ce38145.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071035,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1965,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2a3cf87d-23e2-8314-12bc-cb9bf9b221d6/manifest,,,,,1
読売新聞 明治37年6月17日 号外,06-56,日就社,東京,1904-06-17,我艦隊の浦鹽艦隊追撃情報,,運送船遭難後報,,常陸丸の生存者,門司電報,我艦隊の浦鹽艦隊追撃情報|運送船遭難後報|常陸丸の生存者,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4ba8dd2a-a0e5-6ae7-2454-ed5958fb803d.json,4ba8dd2a-a0e5-6ae7-2454-ed5958fb803d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/4ba8dd2a-a0e5-6ae7-2454-ed5958fb803d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/27e540082f61fffb88f56adf7b6e7deb3cb2a702.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071034,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1966,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4ba8dd2a-a0e5-6ae7-2454-ed5958fb803d/manifest,,,,,1
読売新聞 明治37年7月9日 号外,06-56,日就社,東京,1904-07-09,浦鹽艦隊の報告,,大摩天嶺の戰鬪,戰地特電,小摩天嶺の接戰,,浦鹽艦隊の報告|大摩天嶺の戦闘|小摩天嶺の接戦,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/94f5ad8b-0257-017a-6c06-d22578866031.json,94f5ad8b-0257-017a-6c06-d22578866031,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/94f5ad8b-0257-017a-6c06-d22578866031,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f64e60bcc3d74d19774f85ad309bccab2cb9c9c3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071033,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1967,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/94f5ad8b-0257-017a-6c06-d22578866031/manifest,,,,,1
読売新聞 明治37年8月13日 号外,06-56,日就社,東京,1904-08-13,敵艦潰亂詳報,,旅順艦隊司令長官の戰死,,同上別報,,敵艦潰乱詳報|旅順艦隊司令長官の戦死|同上別報,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a7539a7a-8a0f-7166-6564-897e7a307c38.json,a7539a7a-8a0f-7166-6564-897e7a307c38,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/a7539a7a-8a0f-7166-6564-897e7a307c38,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/13e3d9cee3b11527ee657169103889726fd245a8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071032,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1968,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a7539a7a-8a0f-7166-6564-897e7a307c38/manifest,,,,,1
読売新聞 明治37年8月14日 号外,06-56,日就社,東京,1904-08-14,浦鹽艦隊殆全滅,,浦鹽艦隊の邀撃,,芝罘に於ける敵驅逐艦レシーテリヌイの捕獲,,浦鹽艦隊殆全滅|浦鹽艦隊の邀撃|芝罘に於ける敵駆逐艦レシーテリヌイの捕獲,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/24998063-20c4-31ce-4ffa-31bc9dff0b41.json,24998063-20c4-31ce-4ffa-31bc9dff0b41,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/24998063-20c4-31ce-4ffa-31bc9dff0b41,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/465dc50ab768b01f72582c80d188b198d173618d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071031,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1969,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/24998063-20c4-31ce-4ffa-31bc9dff0b41/manifest,,,,,1
読売新聞 明治37年12月1日 号外,06-56,日就社,東京,1904-12-01,旅順攻圍軍の大成功,,,,,,旅順攻囲軍の大成功,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/410482b3-837e-0523-0452-778223a5a513.json,410482b3-837e-0523-0452-778223a5a513,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/410482b3-837e-0523-0452-778223a5a513,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/54c7d6ec2e8edfbfce1900656f1ed536104a87ef.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071030,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1970,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/410482b3-837e-0523-0452-778223a5a513/manifest,,,,,1
読売新聞 明治38年1月[2日] 号外,06-56,日就社,東京,1905-01-02,旅順陷落す,,,,,,旅順陥落す,,1,日付は推測,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/aa7f030f-2120-0e9c-6ab5-d5e42ba331f0.json,aa7f030f-2120-0e9c-6ab5-d5e42ba331f0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/aa7f030f-2120-0e9c-6ab5-d5e42ba331f0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/07c0b774502bf04eb0e0ecbcf9827ce9b24ac377.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071029,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1971,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/aa7f030f-2120-0e9c-6ab5-d5e42ba331f0/manifest,,,,,1
読売新聞 明治38年1月7日 号外,06-56,日就社,東京,1905-01-07,波艦沈沒す,,露帝波羅的艦隊を召喚す,,捕虜受領人員數,,波艦沈没す|露帝波羅的艦隊を召喚す|捕虜受領人員数,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0eec2f43-96f2-8101-0ee5-2293579591e7.json,0eec2f43-96f2-8101-0ee5-2293579591e7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/0eec2f43-96f2-8101-0ee5-2293579591e7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c746f7d661014d46589e1c5a1bf56723f9eb32a4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071028,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1972,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0eec2f43-96f2-8101-0ee5-2293579591e7/manifest,,,,,1
読売新聞 明治38年1月8日 号外,06-56,日就社,東京,1905-01-08,捕虜受領を終る,,,,,,捕虜受領を終る,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/83064f06-5ff7-a474-82b7-47dfcd221834.json,83064f06-5ff7-a474-82b7-47dfcd221834,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/83064f06-5ff7-a474-82b7-47dfcd221834,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/56d6c0136ff04dedb1f992ceb066a13823fc5220.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071027,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1973,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/83064f06-5ff7-a474-82b7-47dfcd221834/manifest,,,,,1
読売新聞 明治38年8月22日 号外,06-56,日就社,東京,1905-08-22,談判愈々成立せん,,,,,,談判愈々成立せん,,1,,日露戦争,日本語,新聞,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/89a8973c-1684-7138-7925-f5bc75d3a3e2.json,89a8973c-1684-7138-7925-f5bc75d3a3e2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gogai/document/89a8973c-1684-7138-7925-f5bc75d3a3e2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/48a29712601596aa2b34b4cec030603e26c8c1da.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1071026,"東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko, Center for Modern Japanese Legal and Political Documents, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,明治新聞雑誌文庫所蔵新聞号外コレクション,1974,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/89a8973c-1684-7138-7925-f5bc75d3a3e2/manifest,,,,,1
