タイトル	書名よみ	出版	形態	他の書名	注記	分類	原本請求記号	編著者等	出版年（西暦）	ローマ字タイトル	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:publisher	dcterms:extent	dcndl:alternative	dcterms:description	dcterms:subject	dcndl:callNumber	dcterms:creator	dcterms:date	uterms:roman	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	7584
繪本源平武者揃 ; (上)(下) / 堀田里廣[畫]	エホン ゲンペイ ムシャゾロエ	皇都 : 菱屋治兵衛 ; 寛政13	2冊(15丁) ; 22cm			黄表紙	P802	堀田里廣[畫]	1801	ehon gempei mushazoroe	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ba4e7f1b-54be-4913-89ba-db37118474dd.json	ba4e7f1b-54be-4913-89ba-db37118474dd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/ba4e7f1b-54be-4913-89ba-db37118474dd	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6c61a2fb90fbb438fa181f17c6231690118dc059.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91586	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	60		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ba4e7f1b-54be-4913-89ba-db37118474dd/manifest					22
猿能山入唐獅子童子 全	サル ノ ヤマイリ カラジシ ドウジ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(5丁) ; 22cm				P803			saru no yamairi karajishi doji	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/24984408-8e7f-4914-bd7f-df8f93f893f1.json	24984408-8e7f-4914-bd7f-df8f93f893f1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/24984408-8e7f-4914-bd7f-df8f93f893f1	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a45bb39af2af6ef041b3110fa39bba40f215e641.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91587	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	61		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/24984408-8e7f-4914-bd7f-df8f93f893f1/manifest					11
寶抓取 ; (上)(中) / 菱垣市匠橘義陳	タカラ ツカミドリ	[出版地不明] : [出版者不明] ; [出版年不明]	3巻3冊(95丁) ; 23cm		備考: (上)(中)の合冊 ; (上)に落丁あり, 丁付 15, 20, 66	心学	P804	菱垣市匠橘義陳		takara tsukamidori	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bccad32f-8ee4-431b-b38c-3059a7035b25.json	bccad32f-8ee4-431b-b38c-3059a7035b25	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/bccad32f-8ee4-431b-b38c-3059a7035b25	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6efc0bf1ad7af000425bba7ba3fb0ae0dfec1f2a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91588	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	62		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bccad32f-8ee4-431b-b38c-3059a7035b25/manifest					102
鏡袋 / 松崎祐之	カガミブクロ	皇都 : 梶川七郎兵衛 ; 文化元	1冊(27丁) ; 23cm		成立年: 宝暦10	心学	P805	松崎祐之	1804	kagamibukuro	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4910612a-52d6-4085-9792-fbbf185cec61.json	4910612a-52d6-4085-9792-fbbf185cec61	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/4910612a-52d6-4085-9792-fbbf185cec61	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f5f038cf382b9e65ad287abfa52d3c0933d0f1c3.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91589	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	63		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4910612a-52d6-4085-9792-fbbf185cec61/manifest					34
繪本朝鮮軍記 / 臥山人江文玻撰 ; 下河邊拾水畫	エホン チョウセン グンキ	京都 : 菱屋治兵衛 ; 安永5	1冊(34丁) ; 22cm		備考: 書店のメモ: 「大江匡弼著」	読本	P806	臥山人江文玻撰 ; 下河邊拾水畫	1776	ehon chosen gunki	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5860a8c6-73fc-435a-87c9-ff89cf03e224.json	5860a8c6-73fc-435a-87c9-ff89cf03e224	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/5860a8c6-73fc-435a-87c9-ff89cf03e224	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d33c5f9ef6d6d68a25026e2d811072d8acc7a16c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91590	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	64		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5860a8c6-73fc-435a-87c9-ff89cf03e224/manifest					38
繪本名馬揃	エホン メイバゾロエ	浪華 : 藤屋善七 ; 寛政7	1冊(29丁) ; 23cm		備考: 扉に「寺沢氏...」		P807		1795	ehon meibazoroe	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4bb54fae-2bcf-4f9b-b74c-8e65f62a9b32.json	4bb54fae-2bcf-4f9b-b74c-8e65f62a9b32	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/4bb54fae-2bcf-4f9b-b74c-8e65f62a9b32	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1f60fcc4dd9bfe0485f9ec4ba1f83e1fdf4fe2d4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91591	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	65		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4bb54fae-2bcf-4f9b-b74c-8e65f62a9b32/manifest					33
女今川 / [葛飾北斎畫]	オンナ イマガワ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(27丁) ; 23cm	北斎女今川|繪本女今川		教訓	P808	[葛飾北斎畫]		onna imagawa	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/354f5336-78e0-4757-9144-af8fc227f4df.json	354f5336-78e0-4757-9144-af8fc227f4df	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/354f5336-78e0-4757-9144-af8fc227f4df	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/50e45abd3831fcc678c1dba91cd724d7cea6f6f5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91592	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	66		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/354f5336-78e0-4757-9144-af8fc227f4df/manifest					32
倭繪英雄鏡 ; (上)(下) / 長谷川光信畫	ヤマトエ エイユウ カガミ	浪花 : 松翠軒 ; [出版年不明]	2巻2冊 ; 23cm			絵本	P809	長谷川光信畫		yamatoe eiyu kagami	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9ca978c4-9f04-4dd6-b6ca-9cc9f4ff853e.json	9ca978c4-9f04-4dd6-b6ca-9cc9f4ff853e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/9ca978c4-9f04-4dd6-b6ca-9cc9f4ff853e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/76e467aa879e0e5d5846a30a1c15fdf8167cfe35.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91593	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	67		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9ca978c4-9f04-4dd6-b6ca-9cc9f4ff853e/manifest					51
繪本威武貴山 (上)(中)(下) / 勝川春章畫	エホン イブキヤマ	大坂 : 河内屋八兵衛 ; 寛政5	3巻3冊(29丁) ; 23cm		備考: 丁付 9, 9, 9		P810	勝川春章畫	1793	ehon ibukiyama	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/22304d4b-69a9-4b77-bd0b-77ec28ce4386.json	22304d4b-69a9-4b77-bd0b-77ec28ce4386	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/22304d4b-69a9-4b77-bd0b-77ec28ce4386	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e25c8a1e89fc9f384669f89f1878212390700a90.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91594	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	68		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/22304d4b-69a9-4b77-bd0b-77ec28ce4386/manifest					38
孔子事跡圖解 ; (上)(中)(下) / 瑞陽口述 ; 天民, 鸞洲畫	コウシ ジセキ ズカイ	東都 : 小林新兵衛 ; 文化2	3冊(50丁) ; 23cm		成立年: 文化2. 備考: 丁付 16, 16, 17	伝記	P811	瑞陽口述 ; 天民, 鸞洲畫	1805	koshi jiseki zukai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a1e7c3f5-61d8-4e22-99e9-389bc22c3764.json	a1e7c3f5-61d8-4e22-99e9-389bc22c3764	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a1e7c3f5-61d8-4e22-99e9-389bc22c3764	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c8e113874ccaa00a01fd4555d9e0147468e2c54b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91595	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	69		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a1e7c3f5-61d8-4e22-99e9-389bc22c3764/manifest					64
實語教童子教具註抄 / 狭川半水誌	ジツゴキョウ ドウジキョウ グチュウショウ	浪華 : 河内屋亀七 ; [出版年不明]	1冊(23丁) ; 26cm	實語教童子教具註鈔		教訓	P749	狭川半水誌		jitsugokyo dojikyo guchusho	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fbab2100-8741-4328-9140-ea18fb8db121.json	fbab2100-8741-4328-9140-ea18fb8db121	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/fbab2100-8741-4328-9140-ea18fb8db121	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3ee9057927ea6c71ce008ede62e990fd35d876c4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91535	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	7		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fbab2100-8741-4328-9140-ea18fb8db121/manifest					37
武者繪本江戸紫裳紺 / 奥村文角画	ムシャ エホン エド ムラサキ モスソ コン	[出版地不明] : [出版者不明] ; [出版年不明]	1冊 ; 22cm				P813	奥村文角画		musha ehon edo murasaki mosuso kon	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/65a57bb8-4985-4415-9207-68e865d495b9.json	65a57bb8-4985-4415-9207-68e865d495b9	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/65a57bb8-4985-4415-9207-68e865d495b9	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e7b87d452077e8c0158e393acafb0dd164cbe3b7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91596	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	71		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/65a57bb8-4985-4415-9207-68e865d495b9/manifest					13
繪本福禄寿 ; (福之巻)	エホン フクロクジュ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(13丁) ; 22cm		成立年: 延享2		P814			ehon fukurokuju	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2d834026-abbd-4273-a11f-0ddd7875d308.json	2d834026-abbd-4273-a11f-0ddd7875d308	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/2d834026-abbd-4273-a11f-0ddd7875d308	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bcc4863997f0eb9dd22f534e1a677eb6f00bf162.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91597	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	72		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2d834026-abbd-4273-a11f-0ddd7875d308/manifest					14
繪本高麗獄 ; (上)(中)(下) / 南仙笑楚満人撰 ; 北尾重政畫	エホン コマガタケ	東都 : 和泉屋市兵衛 ; 享和2	3巻(19丁) ; 21cm		成立年: 享和2. 備考: 書名は題箋による		P815	南仙笑楚満人撰 ; 北尾重政畫	1802	ehon komagatake	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/32a00dd1-e5e3-4c6f-a5ee-f9404cc72931.json	32a00dd1-e5e3-4c6f-a5ee-f9404cc72931	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/32a00dd1-e5e3-4c6f-a5ee-f9404cc72931	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/42fbbfe3b64ee4dfdca4e06798b7ad590ceb511d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91598	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	73		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/32a00dd1-e5e3-4c6f-a5ee-f9404cc72931/manifest					29
繪本勇者鑑 ; (下)	エホン ユウシャ カガミ	京都 : 菊屋喜兵衛 ; 元文3	1冊(12丁) ; 23cm			絵本	P816		1738	ehon yusha kagami	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8cd0fa9c-e9b3-4e3c-92f6-efc3b6e6d012.json	8cd0fa9c-e9b3-4e3c-92f6-efc3b6e6d012	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/8cd0fa9c-e9b3-4e3c-92f6-efc3b6e6d012	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/55d52da8075a58f690ef6f6d02c77241d4042854.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91599	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	74		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8cd0fa9c-e9b3-4e3c-92f6-efc3b6e6d012/manifest					17
繪本勇者鑑 ; (中)  / [西川祐信画]	エホン ユウシャ カガミ	京都 : 菊屋嘉兵衛 ; [出版年不明]	1冊(12丁) ; 23cm		成立年: 元文3. 備考: 書名は題箋による		P817	[西川祐信画]		ehon yusha kagami	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7b7bf479-0339-4dc8-a552-9ce247d82e39.json	7b7bf479-0339-4dc8-a552-9ce247d82e39	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/7b7bf479-0339-4dc8-a552-9ce247d82e39	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3795aa85bdb87a4b567e69db7da731b94d1df72d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91600	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	75		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7b7bf479-0339-4dc8-a552-9ce247d82e39/manifest					16
頼朝一生記 ; (上)(下) / 紀吉信畫	ヨリトモ イッショウキ	京都 : 菱屋治兵衛 ; 寛政11	2冊(15丁) ; 23cm	繪本頼朝一生記	成立年: 寛政11. 備考: 書名は序による ; 丁付 8, 7	伝記	P818	紀吉信畫	1799	yoritomo isshoki	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a1634ee9-aa25-4e3e-81d2-1ad0c0eb21f8.json	a1634ee9-aa25-4e3e-81d2-1ad0c0eb21f8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a1634ee9-aa25-4e3e-81d2-1ad0c0eb21f8	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/74b9cb16aa4e8f976d91470b9a82b523d92ee1d5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91601	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	76		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a1634ee9-aa25-4e3e-81d2-1ad0c0eb21f8/manifest					24
繪本八重桜 ; (上) / 西川祐尹畫	エホン ヤエザクラ	[出版地不明] : [出版者不明] ; 宝暦2	1冊(6丁) ; 22cm		成立年: 宝暦2. 備考: 書名は題箋による		P819	西川祐尹畫	1752	ehon yaezakura	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/108e7323-cd77-4ff6-876a-105c27dd94f6.json	108e7323-cd77-4ff6-876a-105c27dd94f6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/108e7323-cd77-4ff6-876a-105c27dd94f6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2a29716537f6121bfbe30dcbe4138d380e1a13f2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91602	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	77		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/108e7323-cd77-4ff6-876a-105c27dd94f6/manifest					9
繪本和泉川 ; (中) / 西川祐信畫	エホン イズミガワ	[出版地不明] : [出版者不明] ; [出版年不明]	3巻3冊(12丁) ; 23cm	繪入庭訓往来			P820	西川祐信畫		ehon izumigawa	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/82d39d15-2f0d-4ac7-ad0b-f921c0306bd6.json	82d39d15-2f0d-4ac7-ad0b-f921c0306bd6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/82d39d15-2f0d-4ac7-ad0b-f921c0306bd6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f6af9e8ec58d4970b0d7ed1e8b3f13997e9bbd9c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91603	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	78		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/82d39d15-2f0d-4ac7-ad0b-f921c0306bd6/manifest					15
繪本童の的 ; (中) / 鈴木春信畫	エホン ワラベ ノ マト	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(9丁) ; 23cm		成立年: 明和4禿帚子序, 同刊.	教訓	P821	鈴木春信畫		ehon warabe no mato	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a55746af-1681-4ac8-8d7d-9afc29a5bcec.json	a55746af-1681-4ac8-8d7d-9afc29a5bcec	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a55746af-1681-4ac8-8d7d-9afc29a5bcec	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bd1f3c5412183be08adf5e83a88f86d381a693f0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91604	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	79		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a55746af-1681-4ac8-8d7d-9afc29a5bcec/manifest					12
寺子節用錦袋鑑	テラコ セツヨウ キンタイカガミ	[江戸] : 鱗形屋孫兵衛 ; 寛延4	1冊(26丁) ; 19cm		備考: 節用集(辞書)に情報あり	辞書	P822		1751	terako setsuyo kintaikagami	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/534756e2-bdfe-4a5f-aa73-3b9f746fc84e.json	534756e2-bdfe-4a5f-aa73-3b9f746fc84e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/534756e2-bdfe-4a5f-aa73-3b9f746fc84e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2bbea51bcbed533f01f225099fdd03c13bb677da.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91605	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	80		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/534756e2-bdfe-4a5f-aa73-3b9f746fc84e/manifest					31
