タイトル,作成日,ID,文書種類,文書記述形式,枚数,カード目録,カテゴリ,所蔵,所属,内容,備考,登録年,エンティティ（Google Cloud Vision）,軍艦,特記事項,Transcription,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
〔明治43年11月4日平賀譲宛□徳次郎端書〕,,100010010,アルバム,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,今日河合氏出頭せられ候、只今より鞍馬の運転ニ横須賀ニ参り候(明日施行準備運転),2016,naval ship|warship|ship|battleship|destroyer|heavy cruiser|cruiser|light cruiser|coastal defence ship|watercraft|text|font|calligraphy|paper|writing|handwriting|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1c23eb5b-71a3-47bf-9b31-c6a0a114d8f9.json,1c23eb5b-71a3-47bf-9b31-c6a0a114d8f9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/1c23eb5b-71a3-47bf-9b31-c6a0a114d8f9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ff9b6dcf79b1dce1addfb24c757f4708f2fdbe47.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113255,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1c23eb5b-71a3-47bf-9b31-c6a0a114d8f9/manifest,,,,,2
〔明治45年1月1日付平賀譲宛目良恒年賀状〕,,100010011,アルバム,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,paper|ship|submarine chaser|font|paper product|watercraft|text|document,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/63f2f0df-2b03-49e4-aeed-017825cdb618.json,63f2f0df-2b03-49e4-aeed-017825cdb618,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/63f2f0df-2b03-49e4-aeed-017825cdb618,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f5e32a20cf06184c2fdea0e09a042d84166bc82f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113256,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/63f2f0df-2b03-49e4-aeed-017825cdb618/manifest,,,,,2
〔大正元年11月30日付平賀譲宛□□研造端書〕,,100010012,アルバム,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,tree|watercolor paint|black and white|picture frame|painting|paint|sky|history|paper product|stock photography|text|font|paper|document|calligraphy,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f7ac8873-d6dc-47c1-9418-3482d5754313.json,f7ac8873-d6dc-47c1-9418-3482d5754313,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/f7ac8873-d6dc-47c1-9418-3482d5754313,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e9a2544ac3da3df6af655b74265c063e37b0a4e7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113257,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f7ac8873-d6dc-47c1-9418-3482d5754313/manifest,,,,,2
〔大正7年5月2日付平賀譲宛中川駿端書〕,,100010013,絵はがき,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,日向もお蔭にて無事竣工三十日ニ引渡一日ニ佐世保へ回航,2016,fauna|text|picture frame|paper|font|illustration|calligraphy,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/26a2ff59-587a-40aa-9ef4-0f0a14901b53.json,26a2ff59-587a-40aa-9ef4-0f0a14901b53,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/26a2ff59-587a-40aa-9ef4-0f0a14901b53,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9f3dc70c91919c0558c0fac39f83bf01d7ad1eb4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113258,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/26a2ff59-587a-40aa-9ef4-0f0a14901b53/manifest,,,,,2
〔大正8年1月1日付平賀譲宛渡部吉太郎年賀状〕,,100010014,アルバム,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,text|paper|picture frame|font|illustration|art|art paper|paper product|document,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2d06575c-1f61-47d0-ad4c-1611976ae2e8.json,2d06575c-1f61-47d0-ad4c-1611976ae2e8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/2d06575c-1f61-47d0-ad4c-1611976ae2e8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/58cb3ccb4ec316762b37471dac24d57a2ae8c0d1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113259,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2d06575c-1f61-47d0-ad4c-1611976ae2e8/manifest,,,,,2
〔ポートランド発大正8年2月11日付平賀譲宛鈴木□司端書〕,,100010015,アルバム,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,格司 皆々様御機嫌ノ御事ト奉存候、小生頑健、光輝アル紀念日ヲ軍艦日進ニテ迎ヒ申候 大正八年二月十一日 「ポートラント」軍艦日進ニテ,2016,naval ship|warship|destroyer|battleship|light cruiser|heavy cruiser|ship|armored cruiser|coastal defence ship|battlecruiser|text|font|paper|document|paper product|handwriting,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5a1e3dcf-bb55-4599-8195-1178b3889aae.json,5a1e3dcf-bb55-4599-8195-1178b3889aae,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/5a1e3dcf-bb55-4599-8195-1178b3889aae,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dd0f6a6a5cec1f50d8974b6c2bf74b5d5f9092d7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113260,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5a1e3dcf-bb55-4599-8195-1178b3889aae/manifest,,,,,2
〔ロンドン発大正11年7月15日付艦政本部平賀少監宛端書〕,,100010016,アルバム,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,七月十日鞍馬艦上ノ招待会 十五日 ロンドンニテ,2016,submarine chaser|text|paper|font|document|angle|handwriting|paper product|writing,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f2be80bb-23f4-42a6-8e1e-0948280a3d19.json,f2be80bb-23f4-42a6-8e1e-0948280a3d19,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/f2be80bb-23f4-42a6-8e1e-0948280a3d19,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/506b6cc44109baf8754ccf2d90a7f0fdf63808ca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113261,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f2be80bb-23f4-42a6-8e1e-0948280a3d19/manifest,,,,,2
〔技術本部第四部平賀譲宛山本武蔵端書〕,,100010017,アルバム,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,香取にて陪観記念と御厚志御礼まで,2016,picture frame|art|painting|paint|text|font|paper|artwork,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9a6d086e-1d48-4198-be16-340e63635821.json,9a6d086e-1d48-4198-be16-340e63635821,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/9a6d086e-1d48-4198-be16-340e63635821,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dd8abcf2421283b14b177ce8b3e805ac449b4e48.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113262,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9a6d086e-1d48-4198-be16-340e63635821/manifest,,,,,2
〔10月17日付平賀譲宛白石□成端書〕,,100010018,アルバム,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,平賀譲様御内,2016,picture frame|art|font|submarine chaser|text|handwriting|calligraphy|writing|paper|document,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/80f38d05-a3ce-4173-89c3-e86c3a81ddc2.json,80f38d05-a3ce-4173-89c3-e86c3a81ddc2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/80f38d05-a3ce-4173-89c3-e86c3a81ddc2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9379e9c0f4b9bd5a22e1f9bd05ac66b02c969629.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113263,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/80f38d05-a3ce-4173-89c3-e86c3a81ddc2/manifest,,,,,2
〔平賀一子宛端書〕,,100010019,アルバム,,1枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,flower|yellow|text|picture frame|paper|painting|artwork|art|paint|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c0ba1f32-f749-4c77-9142-98c21c01739f.json,c0ba1f32-f749-4c77-9142-98c21c01739f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/c0ba1f32-f749-4c77-9142-98c21c01739f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ed58c7245ae9fc9c6fd5f81d42cf519058c94fd0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113264,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c0ba1f32-f749-4c77-9142-98c21c01739f/manifest,,,,,1
〔明治41年10月28日付平賀一子宛東海万□子端書〕,,100010020,絵はがき,,2枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,sailing ship|naval ship|ship|ship of the line|calligraphy|watercraft|warship|artwork|submarine chaser|frigate|text|paper|handwriting|font|notebook|writing|document|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/57436128-0cbf-4bab-a9b1-7abceee6f7aa.json,57436128-0cbf-4bab-a9b1-7abceee6f7aa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/57436128-0cbf-4bab-a9b1-7abceee6f7aa,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5776838496f4530dc55819077b2a6ce1d262db26.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113265,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/57436128-0cbf-4bab-a9b1-7abceee6f7aa/manifest,,,,,2
〔絵端書(軍艦出雲)〕,,100010021,アルバム,,1枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,text|poster|font|paper|art,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b8a55c66-6fa5-4c7a-9a5b-b3ba613eb7ef.json,b8a55c66-6fa5-4c7a-9a5b-b3ba613eb7ef,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/b8a55c66-6fa5-4c7a-9a5b-b3ba613eb7ef,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e1494b37014a956315e0f0c08784ad6b9bed1c12.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113266,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b8a55c66-6fa5-4c7a-9a5b-b3ba613eb7ef/manifest,,,,,1
〔絵端書(軍艦薩摩進水式横須賀海軍工廠)〕,,100010022,アルバム,,1枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,yellow|text|art|font|design|illustration|paper|graphic design|printmaking|drawing,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/156001ce-8b32-43bc-94dd-df157b5f42a1.json,156001ce-8b32-43bc-94dd-df157b5f42a1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/156001ce-8b32-43bc-94dd-df157b5f42a1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/890a47a484341e98396d105b0baf13d152a9c39e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113267,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/156001ce-8b32-43bc-94dd-df157b5f42a1/manifest,,,,,1
〔絵端書(海軍用フアルマン式逗子海浜飛行之壮観)〕,,100010023,アルバム,,1枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,photograph|history|black and white|picture frame|stock photography|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/17d7a39a-be89-4286-9917-1f2b075b395c.json,17d7a39a-be89-4286-9917-1f2b075b395c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/17d7a39a-be89-4286-9917-1f2b075b395c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3670262265a82b837b48d833abfc29c43931ec5f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113268,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/17d7a39a-be89-4286-9917-1f2b075b395c/manifest,,,,,1
〔絵端書〕,,100010024,アルバム,,1枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,art|illustration|font|paper product|paper|printmaking|artwork,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3d90123a-82d0-4faf-b6f7-2a303c624998.json,3d90123a-82d0-4faf-b6f7-2a303c624998,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/3d90123a-82d0-4faf-b6f7-2a303c624998,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f1a58f03db8b3764589eb5ff5058d3e1e5200da2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113269,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3d90123a-82d0-4faf-b6f7-2a303c624998/manifest,,,,,1
〔絵端書(大日本帝国軍艦比叡)〕,,100010025,絵はがき,,1枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,naval ship|warship|battleship|destroyer|ship|heavy cruiser|light cruiser|armored cruiser|guided missile destroyer|cruiser,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/92e74d59-7262-442e-aa7d-1bf674aa52a8.json,92e74d59-7262-442e-aa7d-1bf674aa52a8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/92e74d59-7262-442e-aa7d-1bf674aa52a8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/99302318e469f61797182bf9204749e4facbfbd6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113270,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/92e74d59-7262-442e-aa7d-1bf674aa52a8/manifest,,,,,1
〔絵端書(駆逐艦黒潮進水記念 昭和十三年十月二十五日)〕,,100010026,絵はがき,,1枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,advertising|water|art|painting|watercraft|boat,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1b42a83d-6f94-40ee-95f0-5e8d46a650be.json,1b42a83d-6f94-40ee-95f0-5e8d46a650be,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/1b42a83d-6f94-40ee-95f0-5e8d46a650be,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d2684e643bc643c42928db8b34c915f3fca50245.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113271,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1b42a83d-6f94-40ee-95f0-5e8d46a650be/manifest,,,,,1
〔絵端書(救助機艇 凌波)〕,,100010027,絵はがき,,1枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,water transportation|black and white|watercraft|boat|ship|monochrome photography|naval ship|submarine chaser|torpedo boat|motor gun boat,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/07e03577-8bb9-463e-bec1-d3cc33beec3f.json,07e03577-8bb9-463e-bec1-d3cc33beec3f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/07e03577-8bb9-463e-bec1-d3cc33beec3f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f94faaefe6a458efd4a6ff37985095e6316fd7fb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113272,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/07e03577-8bb9-463e-bec1-d3cc33beec3f/manifest,,,,,1
〔絵端書(昭和十四年十月三十日 軍艦隅田進水記念)〕,,100010028,絵はがき,,1枚,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2016,fixed link|bridge|water|painting|picture frame|artwork,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/13e770ff-cec8-4a5b-a831-e6bef4ba4fcc.json,13e770ff-cec8-4a5b-a831-e6bef4ba4fcc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/13e770ff-cec8-4a5b-a831-e6bef4ba4fcc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d95a91a69d10e37ad7b973a9bb6e0997d6f1a1e5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113273,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/13e770ff-cec8-4a5b-a831-e6bef4ba4fcc/manifest,,,,,1
STRENGTH VIII /Strength of Materials II,1907.5.23,100030001,講義筆録,硬表紙ノート,34,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,英国留学,"表紙に材料力学II,Y.Hiragaと日付あり。圧縮と引っ張り、3本吊りによるIの測定、棒の弾性振動、",Y. Hiraga 23 May 07,2016,text|paper|font|material|rectangle|angle|line|diagram|document|writing|handwriting|paper product|notebook|diary|drawing|plywood|square,,旧横国大預かり 表1 平賀譲 遺品(ノート関係) 故吉岡勲・横浜国立大学名誉教授収集(平山次晴・横浜国立大学名誉教授整理),,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b9490022-c185-451d-88fa-f7474d76c6d2.json,b9490022-c185-451d-88fa-f7474d76c6d2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/b9490022-c185-451d-88fa-f7474d76c6d2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4db6ae579f6ff24b46651d9946052c089f49b285.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113274,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b9490022-c185-451d-88fa-f7474d76c6d2/manifest,,,,,34
Mathematics Volume VI by Profr. Burnside/Statics Vol. II/Dynamics Vol. I,1906.3.10,100030002,講義筆録,硬表紙ノート,108,,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,英国留学,"表紙に、数学by Prof.Burnside,静力学Vol.2、動力学Vol.1、Y.Hiraga、滑車、単振動、滑り、衝撃力(4.28)、",Y. Hiraga 10. March. 06,2016,notebook|font|text|paper|picture frame|modern art|painting|artwork|document|paper product|angle|map|handwriting|writing|drawing|book|material|music|diagram|design|line|triangle|pattern|circle|plywood|rectangle,,旧横国大預かり 表1 平賀譲 遺品(ノート関係) 故吉岡勲・横浜国立大学名誉教授収集(平山次晴・横浜国立大学名誉教授整理),,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ddf9a673-22c3-4586-9947-b0f1f04136ac.json,ddf9a673-22c3-4586-9947-b0f1f04136ac,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ddf9a673-22c3-4586-9947-b0f1f04136ac,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e968d446463577fb58e8be3ef0a4970364240cef.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/113275,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ddf9a673-22c3-4586-9947-b0f1f04136ac/manifest,,,,,108
