タイトル	請求記号	画像注記	シリーズ名	編著者	出版社	サイズ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
此花史の材料	GP526:S25:16		裁判言渡書・新聞紙法違反被告事件(明治43年・『此花』一枝「記事」)			1枚 24×19cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0260aa71-0135-42a0-99bb-ecc930b85e3d.json	0260aa71-0135-42a0-99bb-ecc930b85e3d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/0260aa71-0135-42a0-99bb-ecc930b85e3d	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9fb4f082426cd6a62ea78e49c26d1fe16b5c250d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73050	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	588		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0260aa71-0135-42a0-99bb-ecc930b85e3d/manifest					1
[林正明犬論に対する揶揄]「郵便報知新聞」1895号(明治12.5.2)	GP040:F85:38		福澤攻撃全集資料			1枚(4面) /形態:新聞 /48.5cm×33.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/58aa9968-acd6-4893-9827-e170af244522.json	58aa9968-acd6-4893-9827-e170af244522	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/58aa9968-acd6-4893-9827-e170af244522	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5c281142880e1012f22ea00f880cfeaab7b6323f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72670	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	59		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/58aa9968-acd6-4893-9827-e170af244522/manifest					8
上告趣意書	GP526:S25:21		裁判言渡書・新聞紙法違犯事件(大正3年・雑誌『不二』「記事」)			1枚 30×77cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/52a4c2b8-fee3-4d0f-9d1c-b509d690ab75.json	52a4c2b8-fee3-4d0f-9d1c-b509d690ab75	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/52a4c2b8-fee3-4d0f-9d1c-b509d690ab75	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d4a65a710d45c9529e1ca27701638b37a5d90e11.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73051	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	593		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/52a4c2b8-fee3-4d0f-9d1c-b509d690ab75/manifest					2
死刑廃止論集	GP526:Sh33					1綴 24×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/26cde0bf-be1c-4ffe-8e19-4478a1e9ca53.json	26cde0bf-be1c-4ffe-8e19-4478a1e9ca53	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/26cde0bf-be1c-4ffe-8e19-4478a1e9ca53	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d3c7255dc5387e3b7002a2ab644b2198d3b87134.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73052	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	597		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/26cde0bf-be1c-4ffe-8e19-4478a1e9ca53/manifest					34
宮武外骨著書標題	GP020:Mi85					1綴 19.5×27cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/218ac5dc-0118-478e-b853-363095e8fe2a.json	218ac5dc-0118-478e-b853-363095e8fe2a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/218ac5dc-0118-478e-b853-363095e8fe2a	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/802a9bd11d7370b044364aa868c29d7d90806e0c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72620	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	6		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/218ac5dc-0118-478e-b853-363095e8fe2a/manifest					9
投書「日新眞事誌」48号(明治7.6.29)	GP040:F85:39		福澤攻撃全集資料			1枚(4面) /形態:冊子 /49.5cm×33.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f05e3453-3ff7-4363-8b82-5b2a03b78840.json	f05e3453-3ff7-4363-8b82-5b2a03b78840	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f05e3453-3ff7-4363-8b82-5b2a03b78840	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/13ba057da769de3835e179a22ab709065ff5f670.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72671	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	60		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f05e3453-3ff7-4363-8b82-5b2a03b78840/manifest					8
明治初期に於ける貨幣價値の變動その原因と結果	GP537:Me25			宮武外骨		1綴 24cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/29265176-f3b3-40be-b849-4cc39637b0d4.json	29265176-f3b3-40be-b849-4cc39637b0d4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/29265176-f3b3-40be-b849-4cc39637b0d4	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/755c100f4c2f9a9cce5a4c006c819b238a2af0a5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73053	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	600		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/29265176-f3b3-40be-b849-4cc39637b0d4/manifest					4
外箱「「天保錢史」編さん資料」	GP537:Te37:1		「天保錢史」編さん資料			1点 24×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ce2c81dd-3573-407d-8367-9bd004dcc7d7.json	ce2c81dd-3573-407d-8367-9bd004dcc7d7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ce2c81dd-3573-407d-8367-9bd004dcc7d7	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/142dc07493008215051c0fc3a9f509b72d47713c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73054	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	601		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ce2c81dd-3573-407d-8367-9bd004dcc7d7/manifest					2
天保銭	GP537:Te37:2		「天保錢史」編さん資料			1綴 23cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/da06a360-00fb-4255-83cf-c5ddae34c641.json	da06a360-00fb-4255-83cf-c5ddae34c641	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/da06a360-00fb-4255-83cf-c5ddae34c641	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dd4e0030280d42c72b172d38f4d28ae5527188d2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73055	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	602		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/da06a360-00fb-4255-83cf-c5ddae34c641/manifest					38
絵葉書「教育資料大日本古銭集(五)」	GP537:Te37:3		「天保錢史」編さん資料			1枚 9×14cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d2fe1bbc-551a-4575-acb3-79b4bdd95f71.json	d2fe1bbc-551a-4575-acb3-79b4bdd95f71	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d2fe1bbc-551a-4575-acb3-79b4bdd95f71	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c664f05326264aac139ab3e37d633cd47e43358b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73056	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	603		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d2fe1bbc-551a-4575-acb3-79b4bdd95f71/manifest					2
絵葉書「教育資料大日本古銭集(八)」	GP537:Te37:4		「天保錢史」編さん資料			1枚 9×14cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9d501d02-1395-401d-9400-131580299f8e.json	9d501d02-1395-401d-9400-131580299f8e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/9d501d02-1395-401d-9400-131580299f8e	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dcd90e92993f019bdf2e93858dc04626a00af19e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73057	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	604		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9d501d02-1395-401d-9400-131580299f8e/manifest					2
天保銭 拓本	GP537:Te37:5		「天保錢史」編さん資料			7枚 最大7×7cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a2664e75-0310-4b17-bc82-cfc2b1621465.json	a2664e75-0310-4b17-bc82-cfc2b1621465	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a2664e75-0310-4b17-bc82-cfc2b1621465	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/153dd97d3f6be0f7d96d8be13cf913d346c17e31.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73058	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	605		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a2664e75-0310-4b17-bc82-cfc2b1621465/manifest					2
貨幣	GP537:Te37:6		「天保錢史」編さん資料			5点	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1fcf6f3f-88f4-4b63-9a01-02b3dabfb2a6.json	1fcf6f3f-88f4-4b63-9a01-02b3dabfb2a6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/1fcf6f3f-88f4-4b63-9a01-02b3dabfb2a6	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/720fbd791163f32f863c903014f448dbd3465771.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73059	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	606		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1fcf6f3f-88f4-4b63-9a01-02b3dabfb2a6/manifest					2
天保銭:浄瑠璃櫃屋住家の段	GP537:Te37:7		「天保錢史」編さん資料			1冊 8丁 19cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/06de5750-c0f2-449b-9e9f-72529fb8629d.json	06de5750-c0f2-449b-9e9f-72529fb8629d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/06de5750-c0f2-449b-9e9f-72529fb8629d	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9c89d490e29bf3908b1a2635099809f756b9402a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73060	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	607		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/06de5750-c0f2-449b-9e9f-72529fb8629d/manifest					12
天保佳話	GP537:Te37:8		「天保錢史」編さん資料			1冊 33丁 23cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e71397ad-b37c-49ff-ab4c-77c4d790aff6.json	e71397ad-b37c-49ff-ab4c-77c4d790aff6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/e71397ad-b37c-49ff-ab4c-77c4d790aff6	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4257ec8ca2f121804dd7bf54f7daa3d0dededcde.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73061	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	608		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e71397ad-b37c-49ff-ab4c-77c4d790aff6/manifest					38
『天保銭』第4卷第10號	GP537:Te37:9		「天保錢史」編さん資料			1冊 22cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c1227589-7536-4559-bd3b-002303de7790.json	c1227589-7536-4559-bd3b-002303de7790	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c1227589-7536-4559-bd3b-002303de7790	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f3ab693e47c615fc85b99ff305d9631ab2774256.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73062	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	609		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1227589-7536-4559-bd3b-002303de7790/manifest					42
辯駁「日新眞事誌」118号(明治7.9.25)	GP040:F85:40		福澤攻撃全集資料			1枚(4面) /形態:新聞 /49.5cm×33.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/67a1ff4a-3c23-4e38-9c78-4031d6c49eb5.json	67a1ff4a-3c23-4e38-9c78-4031d6c49eb5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/67a1ff4a-3c23-4e38-9c78-4031d6c49eb5	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e78d89cb3c787dff82cb5fe0c3ad96e5df1bbacc.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72672	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	61		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/67a1ff4a-3c23-4e38-9c78-4031d6c49eb5/manifest					8
『天保銭』第5卷第2號	GP537:Te37:10		「天保錢史」編さん資料			1冊 22cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5e9f4ecb-a4ed-4fc2-8efd-dc2d435706e5.json	5e9f4ecb-a4ed-4fc2-8efd-dc2d435706e5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/5e9f4ecb-a4ed-4fc2-8efd-dc2d435706e5	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d9a23976a3a5bc391841cffe7aca318c1bb778e8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73063	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	610		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5e9f4ecb-a4ed-4fc2-8efd-dc2d435706e5/manifest					39
決闘申込事件資料	GP568:Ke63					1綴 26cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c27e2f5e-a3dd-485d-982b-136990cfa171.json	c27e2f5e-a3dd-485d-982b-136990cfa171	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c27e2f5e-a3dd-485d-982b-136990cfa171	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fd54d9831da4500fdff37540943cee15e33e2bc2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73064	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	611		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c27e2f5e-a3dd-485d-982b-136990cfa171/manifest					170
かげま	GP580:D38:1		男色若衆考資料			1綴 25cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7e98d892-74c4-40bf-9317-1a6678040aa9.json	7e98d892-74c4-40bf-9317-1a6678040aa9	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/7e98d892-74c4-40bf-9317-1a6678040aa9	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e5ff95f8a278254b8331eb5a538a918510996807.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73065	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	612		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7e98d892-74c4-40bf-9317-1a6678040aa9/manifest					45
原稿「摂陽続落穂集」	GP580:D38:2		男色若衆考資料			2枚 24×33cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ef03fee8-4528-4e9a-bf1a-c9bf1aa0c650.json	ef03fee8-4528-4e9a-bf1a-c9bf1aa0c650	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ef03fee8-4528-4e9a-bf1a-c9bf1aa0c650	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6f0f149b33ff9492d09ddf0d98c424e2457ecea1.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73066	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	613		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ef03fee8-4528-4e9a-bf1a-c9bf1aa0c650/manifest					2
雑誌等切抜き、メモ 「かげま」	GP580:D38:3		男色若衆考資料			1綴 26cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0c32d97f-a405-41b6-b636-f3e061373f91.json	0c32d97f-a405-41b6-b636-f3e061373f91	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/0c32d97f-a405-41b6-b636-f3e061373f91	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1d9b2576e32d8499ed635d5664b76cd5af5db3ea.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73067	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	614		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0c32d97f-a405-41b6-b636-f3e061373f91/manifest					45
結婚市場	GP580:Ke29					1綴 24cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/13f65844-23e1-430e-8e03-ea60fceea22c.json	13f65844-23e1-430e-8e03-ea60fceea22c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/13f65844-23e1-430e-8e03-ea60fceea22c	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/71a98a9b47c73e2d0e0a73de15a9d2d470a912b4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73068	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	615		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/13f65844-23e1-430e-8e03-ea60fceea22c/manifest					4
娼妓檢黴史	GP580:Sh95					1綴 26cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/128dd210-1212-4a44-812a-f0b1ac446bd6.json	128dd210-1212-4a44-812a-f0b1ac446bd6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/128dd210-1212-4a44-812a-f0b1ac446bd6	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f346e68ab2ad998fe1e5feb328ffb67ccb0fd45c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/73069	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	616		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/128dd210-1212-4a44-812a-f0b1ac446bd6/manifest					173
