タイトル	年月日	本文タイトル（原本）	巻頭目録タイトル（原本）	本文タイトル（標点本）	巻頭目録タイトル（標点本）	冊	巻	条	画像（開始コマ）	請求記号	類	目	影印本	標点本	Date Created	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	コレクション	IIIFマニフェストURI	ソート用項目	西暦	# of media
文職官吏監生知印承差犯枉法滿貫絞罪充軍例	成化1.1.22	文職官吏監生知印承差犯枉法滿貫絞罪充軍例	文職官吏監生知印承差犯枉法滿貫絞罪充軍例/前件成化元年正月二十三日侵欺舡料價銀事	文職官吏監生知印承差犯枉法滿貫絞罪充軍例	文職官吏監生知印承差犯枉法滿貫絞罪充軍例/前件成化元年正月二十三日侵欺船料價銀事	第9冊	卷41	第1條	0041-00006	A00:6290:9	刑部類	官吏受財(官吏受贓)	下-215下表	乙5-645(41-1)	1465-010-22	47e8dbb1-b94a-47c1-a369-ef0a61bbbb96	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/47e8dbb1-b94a-47c1-a369-ef0a61bbbb96	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103956/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100372	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/47e8dbb1-b94a-47c1-a369-ef0a61bbbb96/manifest			2
官吏犯贓者顯跡者遇革仍提對理發落例	成化2.3.16	官吏犯贓者顯跡者遇革仍提對理發落例	官吏犯贓有顯跡者遇革仍提對理發落例/前件成化二年三月十六日開讀事	官吏犯贓(者)[有]顯跡者遇革仍提對理發落例	官吏犯贓有顯跡者遇革仍提對理發落例/前件成化二年三月十六日開讀事	第9冊	卷41	第2條	0041-00007	A00:6290:9	刑部類	官吏受財(官吏受贓)	下-216上表	乙5-646(41-2)	1466-030-16	c9065ad5-dee6-4e9f-94c9-8de270bfc8d0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/c9065ad5-dee6-4e9f-94c9-8de270bfc8d0	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103867/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100373	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c9065ad5-dee6-4e9f-94c9-8de270bfc8d0/manifest			3
公差人員不許索要王府財物例	成化2.7.20	公差人員不許索要王府財物例	公差人員不許索要王府財物例/前件成化二年七月二十日申明舊例事	公差人員不許索要王府財物例	公差人員不許索要王府財物例/前件成化二年七月二十日申明舊例事	第9冊	卷41	第1條	0041-00009	A00:6290:9	刑部類	在官求索借貸人財物	下-217上表	乙5-648(41-3)	1466-070-20	5f122129-888e-4a2a-ae32-3929295e7039	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/5f122129-888e-4a2a-ae32-3929295e7039	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/100920/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100374	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5f122129-888e-4a2a-ae32-3929295e7039/manifest			3
柴夫人等訐告本廠官吏贓私不行本廠徑行巡按等官委官査勘提問	成化4.5	柴夫人等訐告本廠官吏贓私不行本廠徑行巡按等官委官査勘提問	柴夫人等訐告本廠官吏贓私不行本廠徑行巡按等官委官査勘提問/前件成化四年五月內貪官侵剋柴炭價求索害民等事	柴夫人等訐告本廠官吏贓私不行本廠徑行巡按等官委官査勘提問	柴夫人等訐告本廠官吏贓私不行本廠徑行巡按等官委官査勘提問/前件成化四年五月內貪官侵剋柴炭價求索害民等事	第9冊	卷41	第2條	0041-00011	A00:6290:9	刑部類	在官求索借貸人財物	下-218上表	乙5-649(41-4)	1468-050-99	2bdbb813-9b4a-4c25-aafe-11be39e9a698	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/2bdbb813-9b4a-4c25-aafe-11be39e9a698	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104051/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100375	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2bdbb813-9b4a-4c25-aafe-11be39e9a698/manifest			1
申明公差索官要王府錢物處死例	成化6.7.20	申明公差索官要王府錢物處死例	申明公差官索要王府錢物處死例/前件成化六年七月二十日申明舊例事	申明公差官索要王府錢物處死例	申明公差官索要王府錢物處死例/前件成化六年七月二十日申明舊例事	第9冊	卷41	第3條	0041-00012	A00:6290:9	刑部類	在官求索借貸人財物	下-218下表	乙5-649(41-5)	1470-070-20	5d5dd13d-e7d7-43b3-8873-83e1743c88b1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/5d5dd13d-e7d7-43b3-8873-83e1743c88b1	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104346/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100376	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5d5dd13d-e7d7-43b3-8873-83e1743c88b1/manifest			3
在外有司多要馬夫幷皂隸錢計贓擬罪	成化11.9	在外有司多要馬夫幷皂隸錢計贓擬罪	在外有司多要馬夫幷皂隸錢計贓擬罪/前件成化十一年九月內公務事	在外有司多要馬夫竝皂隸錢計贓擬罪	在外有司多要馬夫竝皂隸錢計贓擬罪/前件成化十一年九月內公務事	第9冊	卷41	第4條	0041-00014	A00:6290:9	刑部類	在官求索借貸人財物	下-219下表	乙5-651(41-6)	1475-090-99	e3e29b70-d150-464b-8bed-69330cc8cd7b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/e3e29b70-d150-464b-8bed-69330cc8cd7b	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101873/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100377	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e3e29b70-d150-464b-8bed-69330cc8cd7b/manifest			1
禁革公差人員索要財物等項	成化13.5.28	禁革公差人員索要財物等項	禁革公差人員索要財物等項/前件成化十三年五月二十八日	禁革公差人員索要財物等項	禁革公差人員索要財物等項/前件成化十三年五月二十八日	第9冊	卷41	第5條	0041-00015	A00:6290:9	刑部類	在官求索借貸人財物	下-220上表	乙5-651(41-7)	1477-050-28	4d3a1b84-c5ca-4f5f-aed0-2eba468abd1e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/4d3a1b84-c5ca-4f5f-aed0-2eba468abd1e	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102136/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100378	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4d3a1b84-c5ca-4f5f-aed0-2eba468abd1e/manifest			2
官舍押解囚犯犯求色財物姦淫婦女等職守哨	成化20.8.11	官舍押解囚犯犯求色財物姦淫婦女等職守哨	官舍押解囚犯求索財物等項姦淫婦女革職守哨/前件成化二十年八月十一日爲情乞恩急救性命官舍非法逼要財物等事	官舍押解囚犯(犯)求(色)[索]財物姦淫婦女等[項革]職守哨	官舍押解囚犯求索財物姦淫婦女等項革職守哨/前件成化二十年八月十一日爲情乞恩急救性命官舍非法逼要財物等事	第9冊	卷41	第6條	0041-00016	A00:6290:9	刑部類	在官求索借貸人財物	下-220下表	乙5-652(41-8)	1484-080-11	d60247d4-ba0c-4e73-90b0-4c5a6e3cdf31	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/d60247d4-ba0c-4e73-90b0-4c5a6e3cdf31	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101496/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100379	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d60247d4-ba0c-4e73-90b0-4c5a6e3cdf31/manifest			3
旗校人等撥發各將軍拜儀賓等處充徒不許索要財物幷軍民擺站充徒仍照舊例	弘治5.8.28	旗校人等撥發各將軍拜儀賓等處充徒不許索要財物幷軍民擺站充徒仍照舊例	旗校人等撥發各將軍幷儀賓等處充從不許索要財物幷軍民擺沾充徒仍照舊例/前件弘治五年八月二十八日諫言事	旗校人等撥發各將軍(拜)[竝]儀賓等處充(徒)[從]不許索要財物竝軍民擺站充徒仍照舊例	旗校人等撥發各將軍竝儀賓等處充從不許索要財物竝軍民擺(沾)[站]充徒仍照舊例/前件弘治五年八月二十八日(諫)[陳]言事	第9冊	卷41	第7條	0041-00019	A00:6290:9	刑部類	在官求索借貸人財物	下-222上表	乙5-654(41-9)	1492-080-28	1f01da84-2806-47e2-b3ec-3761c0663236	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/1f01da84-2806-47e2-b3ec-3761c0663236	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103387/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100380	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1f01da84-2806-47e2-b3ec-3761c0663236/manifest			3
供應等項例	成化1.6.25	供應等項例	供應等項例/前件成化元年六月二十五日建言民情事	供應等項例	供應等項例/前件成化元年六月二十五日建言民情事	第9冊	卷41	第1條	0041-00021	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-223上表	乙5-655(41-10)	1465-060-25	9255874e-eb48-46d9-bdf7-b85e82005c4c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9255874e-eb48-46d9-bdf7-b85e82005c4c	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101617/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100381	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9255874e-eb48-46d9-bdf7-b85e82005c4c/manifest			2
禁約管軍管民官員不許擅自科擾	成化7.12.16	禁約管軍管民官員不許擅自科擾	禁約管軍管民官員不許擅自科擾/前件成化七年十二月十六日陳言禁革罰害軍民事	禁約管軍管民官員不許擅自科擾	禁約管軍管民官員不許擅自科擾/前件成化七年十二月十六日陳言禁革罰害軍民事	第9冊	卷41	第2條	0041-00022	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-223下表	乙5-656(41-11)	1471-120-16	f8636fe1-0ba5-4c54-8612-338859c46364	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/f8636fe1-0ba5-4c54-8612-338859c46364	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103103/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100382	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f8636fe1-0ba5-4c54-8612-338859c46364/manifest			3
成化十五年五月十六日兵部等衙門太子少保尚書等官白等題爲弭盜事	成化15.5.16	成化十五年五月十六日兵部等衙門太子少保尚書等官白等題爲弭盜事	弭盜事/前件成化十年五月十六日弭盜事	弭盜事	弭盜事/前件成化十年五月十六日弭盜事	第9冊	卷41	第3條	0041-00024	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-224下表	乙5-658(41-12)	1479-050-16	58a6995f-3922-4bc1-95b0-a97d4281b2de	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/58a6995f-3922-4bc1-95b0-a97d4281b2de	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104052/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100383	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/58a6995f-3922-4bc1-95b0-a97d4281b2de/manifest			2
通行在外大小衙門不許勸借出粟賑濟	成化11.11.26	通行在外大小衙門不許勸借出粟賑濟	通行在外大小衙門不許勸借出粟賑濟/前件成化十一年十一月二十六日陳言事	通行在外大小衙門不許勸借出粟賑濟	通行在外大小衙門不許勸借出粟賑濟/前件成化十一年十一月二十六日陳言事	第9冊	卷41	第4條	0041-00025	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-225上表	乙5-658(41-13)	1475-110-26	34f42a6f-542f-443a-aaba-3d086075591b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/34f42a6f-542f-443a-aaba-3d086075591b	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/100923/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100384	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/34f42a6f-542f-443a-aaba-3d086075591b/manifest			7
成化十六年正月二十八日戶部尚書陳等題	成化16.1.28	成化十六年正月二十八日戶部尚書陳等題	減征科以蘇民困/前件成化十六年正月二十六日	減征科以蘇民困	減征科以蘇民困/前件成化十六年正月二十六日	第9冊	卷41	第5條	0041-00031	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-228上表	乙5-663(41-14)	1480-010-28	96cc810b-8fff-4483-aea0-dc79af401485	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/96cc810b-8fff-4483-aea0-dc79af401485	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/100833/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100385	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/96cc810b-8fff-4483-aea0-dc79af401485/manifest			2
害民廢政貪濫	成化20.7.28	害民廢政貪濫	害民廢政貪濫/前件成化二十年七月二十八日爲建言民情事	害民廢政貪濫	害民廢政貪濫/前件成化二十年七月二十八日爲建言民情事	第9冊	卷41	第6條	0041-00033	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-229上表	乙5-664(41-15)	1484-070-28	63427b04-9ecd-4de1-83fe-147d9994a909	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/63427b04-9ecd-4de1-83fe-147d9994a909	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102630/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100386	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/63427b04-9ecd-4de1-83fe-147d9994a909/manifest			2
守衞官軍多科軍士鈔物送與門官賣放回營幷官自行侵剋入己官降一級軍人邊衞差操	成化21.2	守衞官軍多科軍士鈔物送與門官賣放回營幷官自行侵剋入己官降一級軍人邊衞差操	守衞官軍多科軍士鈔物送與門官賣放回營幷官自行侵剋入己官降一級軍人邊差衞操/前件成化二十一年二月內陳情守衞事	守衙官軍多科軍士鈔物送與門官賣放回營竝官自行侵剋入己官降一級軍人邊衞差操	守衞官軍多科軍士鈔物送與門官賣放回營竝官自行侵剋入己官降一級軍人邊衞差操/前件成化二十一年二月內陳情守衞事	第9冊	卷41	第7條	0041-00034	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-229下表	乙5-665(41-16)	1485-020-99	007897dc-87ed-47ea-b8d8-2b18ca48bdc3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/007897dc-87ed-47ea-b8d8-2b18ca48bdc3	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103267/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100387	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/007897dc-87ed-47ea-b8d8-2b18ca48bdc3/manifest			2
弘治元年閏正月十九日本院左都御史馬奏稱禁公罰以勵士風	弘治1.閏1.19	弘治元年閏正月十九日本院左都御史馬奏稱禁公罰以勵士風	禁公罰以勵士風/前件弘治元年閏正月十九日	禁公罰以勵士風	禁公罰以勵士風/前件弘治元年閏正月十九日	第9冊	卷41	第8條	0041-00035	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-230上表	乙5-666(41-17)	1488-015-19	34bcb6a4-0a51-4c82-8916-2379941c2a80	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/34bcb6a4-0a51-4c82-8916-2379941c2a80	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102910/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100388	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/34bcb6a4-0a51-4c82-8916-2379941c2a80/manifest			2
弘治元年三月初七日都察院題	弘治1.3.7	弘治元年三月初七日都察院題	[缺題]/前件弘治元年三月初七日	[缺題]	[缺題]/前件弘治元年三月初七日	第9冊	卷41	第9條	0041-00036	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-230下表	乙5-666(41-18)	1488-030-07	695185b8-9cd3-45fc-8ffa-7b76446a84e5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/695185b8-9cd3-45fc-8ffa-7b76446a84e5	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102765/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100389	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/695185b8-9cd3-45fc-8ffa-7b76446a84e5/manifest			2
在外大小官員公罰不入者降用	弘治1.4.8	在外大小官員公罰不入者降用	在外大小官員公罰不入己者降用/前件弘治元年四月初八日爲遇赦節經體勘明白辯問遠職延久未蒙發落事	在外大小官員公罰不入者降用	在外大小官員公罰不入[己]者降用/前件弘治元年四月初八日爲遇赦節經體勘明白辨問還職延久未蒙發落事	第9冊	卷41	第10條	0041-00037	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-231上表	乙5-667(41-19)	1488-040-08	4ba09b7d-7ecd-4cfd-9e95-36886a1fe7dd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/4ba09b7d-7ecd-4cfd-9e95-36886a1fe7dd	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103551/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100390	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4ba09b7d-7ecd-4cfd-9e95-36886a1fe7dd/manifest			2
在外有司科罰磚石等料不罪其餘罰銀穀等貴細之物重者降黜	弘治5.4.14	在外有司科罰磚石等料不罪其餘罰銀穀等貴細之物重者降黜	在外有司科罰碎石等料不罪其餘罰銀穀等貴細之物重者降黜/前件弘治五年四月十四日爲貪官嗜酒酷刑違例索財挾仇陷害等事	在外有司科罰磚石等料不罪其餘罰銀穀等貴細之物重者降黜	在外有司科罰(碎)[磚]石等料不罪其餘罰銀穀等貴細之物重者降黜/前件弘治五年四月十四日爲貪官嗜酒酷刑違例索財挾讎陷害等事	第9冊	卷41	第11條	0041-00038	A00:6290:9	刑部類	因公擅入科斂(因八科斂)	下-231下表	乙5-668(41-20)	1492-040-14	1875d9c2-2a8a-441a-b9cb-05b7b781046d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/1875d9c2-2a8a-441a-b9cb-05b7b781046d	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101765/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100391	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1875d9c2-2a8a-441a-b9cb-05b7b781046d/manifest			8
官吏聽許財物照大明律行	成化19.2.11	官吏聽許財物照大明律行	官吏聽許財物照大明律行/前件成化十九年二月十一日	官吏聽許財物照大明律行	官吏聽許財物照大明律行/前件成化十九年二月十一日	第9冊	卷41	第1條	0041-00045	A00:6290:9	刑部類	官吏聽許財物(聽許財物)	下-235上表	乙5-674(41-21)	1483-020-11	ee0d8d95-31b6-4549-8501-dbff4c5e528f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ee0d8d95-31b6-4549-8501-dbff4c5e528f	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104048/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100392	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ee0d8d95-31b6-4549-8501-dbff4c5e528f/manifest			3
禁約抄寫假奏詞旨意傳用惑眾例	成化8.6.22	禁約抄寫假奏詞旨意傳用惑眾例	禁約抄寫假奏詞紙意傳用惑眾例/前件成化八年六月二十一日違法等事	禁約抄寫假奏詞旨意傳用惑眾例	禁約抄寫假奏詞(紙)[旨]意傳用惑眾例/前件成化八年六月二十一日違法等事	第9冊	卷42	第1條	0042-00006	A00:6290:9	刑部類	詐爲制書	下-237下表	乙5-681(42-1)	1472-060-22	b0787659-c800-43fd-ad61-bee88ddb271c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/b0787659-c800-43fd-ad61-bee88ddb271c	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104274/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100393	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b0787659-c800-43fd-ad61-bee88ddb271c/manifest			3
禁約不許私自傳寫通報遠方例	成化11.閏2.6	禁約不許私自傳寫通報遠方例	禁約不許私自傳寫通報遠方例/前件成化十三年閏二月初六日陳言事	禁約不許私自傳寫通報遠方例	禁約不許私自傳寫通報遠方例/前件成化十三年閏二月初六日陳言事	第9冊	卷42	第1條	0042-00008	A00:6290:9	刑部類	對制上書詐不以實	下-238下表	乙5-683(42-2)	1475-025-06	ee181ca0-3e28-4ced-a999-36bd904baa24	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ee181ca0-3e28-4ced-a999-36bd904baa24	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103686/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/100394	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ee181ca0-3e28-4ced-a999-36bd904baa24/manifest			3
